numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Local,MANACOR A,18,0,0,0,90
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Local,MANACOR A,18,0,0,0,90
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Titular,Local,MANACOR A,18,0,0,0,90
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Local,MANACOR A,18,0,0,0,67
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,MANACOR A,18,0,0,0,90
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Titular,Local,MANACOR A,18,0,0,0,75
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,MANACOR A,18,0,0,0,67
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Local,MANACOR A,18,0,0,0,90
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Titular,Local,MANACOR A,18,0,0,0,90
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Local,MANACOR A,18,0,1,0,75
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Titular,Local,MANACOR A,18,0,0,0,80
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Local,MANACOR A,18,0,0,0,0
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,MANACOR A,18,0,0,0,15
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Suplente,Local,MANACOR A,18,0,0,0,0
8,"FERNÁNDEZ CASSO, ALBERTO",SP. ATº CIUTAT DE PALMA,Suplente,Local,MANACOR A,18,1,0,0,10
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Suplente,Local,MANACOR A,18,0,0,0,23
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Suplente,Local,MANACOR A,18,0,0,0,15
29,"KEITA SIDIBE, MADY",SP. ATº CIUTAT DE PALMA,Suplente,Local,MANACOR A,18,0,0,0,23
1,"RADO ASENCIO, IKER",MANACOR A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,18,0,0,0,90
4,"GRAHAM, NATHAN STUART",MANACOR A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,18,0,0,0,90
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,18,1,0,0,90
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,18,0,0,0,90
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,18,0,0,0,67
12,"ORTIZ CARROZA, ABRAHAM",MANACOR A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,18,0,0,0,90
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,18,0,0,0,90
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,18,0,0,0,81
20,"ADROVER GARRIDO, GERARD",MANACOR A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,18,0,0,0,67
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,18,0,0,0,90
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,18,0,1,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,18,0,0,0,0
10,"POSTIGO GARAT, RAUL",MANACOR A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,18,0,0,0,23
15,"NOLAN MUÑOZ, SERGIO",MANACOR A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,18,0,0,0,0
17,"VIVES HIDALGO, IKER",MANACOR A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,18,0,0,0,23
18,"SOLER CALDENTEY, JOEL",MANACOR A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,18,0,0,0,9
23,"MARTINEZ ABELLAN, IKER",MANACOR A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,18,0,0,0,0
25,"BURGUERA BONET, JULIÀ",MANACOR A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,18,0,0,0,0
