numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Titular,Local,SD LA SALLE A,19,0,0,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Local,SD LA SALLE A,19,0,0,0,90
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Local,SD LA SALLE A,19,0,1,0,61
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Local,SD LA SALLE A,19,0,0,0,90
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Local,SD LA SALLE A,19,0,1,0,67
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Titular,Local,SD LA SALLE A,19,0,0,0,90
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Titular,Local,SD LA SALLE A,19,0,1,0,61
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Local,SD LA SALLE A,19,0,0,0,67
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Local,SD LA SALLE A,19,0,0,0,90
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Titular,Local,SD LA SALLE A,19,0,1,0,90
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Titular,Local,SD LA SALLE A,19,0,0,0,75
1,"MIR OLMO, JORDI",CONSTANCIA A,Suplente,Local,SD LA SALLE A,19,0,0,0,0
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Suplente,Local,SD LA SALLE A,19,0,1,0,29
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Suplente,Local,SD LA SALLE A,19,0,0,0,29
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Suplente,Local,SD LA SALLE A,19,0,0,0,0
17,"SABATER SANCHO, MARC",CONSTANCIA A,Suplente,Local,SD LA SALLE A,19,0,0,0,15
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Local,SD LA SALLE A,19,0,0,0,23
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Suplente,Local,SD LA SALLE A,19,0,0,0,23
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Titular,Visitante,CONSTANCIA A,19,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Visitante,CONSTANCIA A,19,0,1,0,70
3,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Titular,Visitante,CONSTANCIA A,19,0,0,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Visitante,CONSTANCIA A,19,0,0,0,90
6,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Visitante,CONSTANCIA A,19,0,0,0,90
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Visitante,CONSTANCIA A,19,0,0,0,70
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Visitante,CONSTANCIA A,19,0,0,0,55
9,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Visitante,CONSTANCIA A,19,0,1,0,90
10,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Titular,Visitante,CONSTANCIA A,19,1,0,0,77
11,"PETRARCA, ELIA",SD LA SALLE A,Titular,Visitante,CONSTANCIA A,19,0,0,0,77
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Visitante,CONSTANCIA A,19,0,0,0,90
1,"FEMENIAS SOTO, LLUC",SD LA SALLE A,Suplente,Visitante,CONSTANCIA A,19,0,0,0,0
5,"PUYA TUR, OSCAR",SD LA SALLE A,Suplente,Visitante,CONSTANCIA A,19,0,0,0,20
12,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Suplente,Visitante,CONSTANCIA A,19,0,0,0,20
14,"GIL MASSANET, LLUIS",SD LA SALLE A,Suplente,Visitante,CONSTANCIA A,19,0,0,0,13
15,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Suplente,Visitante,CONSTANCIA A,19,0,0,0,35
16,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Visitante,CONSTANCIA A,19,0,0,0,13
17,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Suplente,Visitante,CONSTANCIA A,19,0,0,0,0
