numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"FATY, MALANG",PLA DE NA TESA A,Titular,Local,PENYA ARRABAL A,19,0,1,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Local,PENYA ARRABAL A,19,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Local,PENYA ARRABAL A,19,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Local,PENYA ARRABAL A,19,0,1,0,90
5,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Titular,Local,PENYA ARRABAL A,19,0,0,0,90
6,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Titular,Local,PENYA ARRABAL A,19,0,0,0,84
7,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Local,PENYA ARRABAL A,19,0,0,0,90
8,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Local,PENYA ARRABAL A,19,1,0,0,90
9,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Titular,Local,PENYA ARRABAL A,19,0,0,0,75
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Local,PENYA ARRABAL A,19,0,0,0,90
11,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Local,PENYA ARRABAL A,19,0,0,0,78
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Suplente,Local,PENYA ARRABAL A,19,0,0,0,0
14,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Local,PENYA ARRABAL A,19,0,0,0,0
15,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Local,PENYA ARRABAL A,19,0,0,0,0
16,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Suplente,Local,PENYA ARRABAL A,19,0,0,0,0
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Local,PENYA ARRABAL A,19,0,0,0,6
18,"MORA GISPERT, HUGO",PLA DE NA TESA A,Suplente,Local,PENYA ARRABAL A,19,0,0,0,15
19,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Local,PENYA ARRABAL A,19,0,0,0,12
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Titular,Visitante,PLA DE NA TESA A,19,0,0,0,90
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Titular,Visitante,PLA DE NA TESA A,19,0,0,0,64
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Visitante,PLA DE NA TESA A,19,1,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Visitante,PLA DE NA TESA A,19,0,0,0,73
7,"MESQUIDA URIBE, XAVIER",PENYA ARRABAL A,Titular,Visitante,PLA DE NA TESA A,19,0,0,0,73
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Visitante,PLA DE NA TESA A,19,0,0,0,90
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Visitante,PLA DE NA TESA A,19,0,0,0,90
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Titular,Visitante,PLA DE NA TESA A,19,0,0,0,64
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Titular,Visitante,PLA DE NA TESA A,19,0,0,0,58
21,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Visitante,PLA DE NA TESA A,19,0,0,0,90
23,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Visitante,PLA DE NA TESA A,19,0,2,0,90
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Suplente,Visitante,PLA DE NA TESA A,19,0,0,0,0
5,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Visitante,PLA DE NA TESA A,19,0,0,0,17
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Suplente,Visitante,PLA DE NA TESA A,19,1,0,0,26
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Suplente,Visitante,PLA DE NA TESA A,19,0,0,0,32
11,"VAZQUEZ SUAREZ, HUGO",PENYA ARRABAL A,Suplente,Visitante,PLA DE NA TESA A,19,0,0,0,0
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Suplente,Visitante,PLA DE NA TESA A,19,0,0,0,26
20,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Suplente,Visitante,PLA DE NA TESA A,19,0,0,0,17
