numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Local,MALLORCA B,19,0,0,0,90
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Local,MALLORCA B,19,0,1,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Local,MALLORCA B,19,1,1,0,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Local,MALLORCA B,19,0,0,0,64
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Local,MALLORCA B,19,0,0,0,90
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,MALLORCA B,19,1,0,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Local,MALLORCA B,19,0,0,0,72
15,"SOLIVELLAS LLOMPART, JOAQUÍN",PLATGES DE CALVIA A,Titular,Local,MALLORCA B,19,0,0,0,90
18,"PAYERO MOLINA, NICOLAS",PLATGES DE CALVIA A,Titular,Local,MALLORCA B,19,0,0,0,81
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Local,MALLORCA B,19,0,0,0,90
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Local,MALLORCA B,19,0,0,0,90
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Local,MALLORCA B,19,0,0,0,0
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Local,MALLORCA B,19,0,0,0,0
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Suplente,Local,MALLORCA B,19,0,0,0,9
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Suplente,Local,MALLORCA B,19,0,0,0,0
17,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Suplente,Local,MALLORCA B,19,0,0,0,18
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Suplente,Local,MALLORCA B,19,0,0,0,0
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Local,MALLORCA B,19,0,1,0,26
1,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Titular,Visitante,PLATGES DE CALVIA A,19,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Visitante,PLATGES DE CALVIA A,19,0,0,0,90
3,"VAN DER MEER GARI, YANNICK",MALLORCA B,Titular,Visitante,PLATGES DE CALVIA A,19,0,0,0,82
4,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Titular,Visitante,PLATGES DE CALVIA A,19,0,0,0,90
5,"VERA SALINAS, ERIK",MALLORCA B,Titular,Visitante,PLATGES DE CALVIA A,19,0,0,0,90
6,"BURGAYA GENOVART, FERRAN",MALLORCA B,Titular,Visitante,PLATGES DE CALVIA A,19,0,0,0,82
7,"LAZARO TORRES, MARIO",MALLORCA B,Titular,Visitante,PLATGES DE CALVIA A,19,0,1,0,64
8,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Titular,Visitante,PLATGES DE CALVIA A,19,0,0,0,90
9,"SIDIROPOULOS, ANASTASIOS",MALLORCA B,Titular,Visitante,PLATGES DE CALVIA A,19,0,1,0,90
10,"MARTINEZ BELA, JAVIER",MALLORCA B,Titular,Visitante,PLATGES DE CALVIA A,19,0,0,0,82
11,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Titular,Visitante,PLATGES DE CALVIA A,19,1,0,0,53
13,"VALLBONA SERRA, JOAN",MALLORCA B,Suplente,Visitante,PLATGES DE CALVIA A,19,0,0,0,0
12,"ALEMANY TOUS, MARC",MALLORCA B,Suplente,Visitante,PLATGES DE CALVIA A,19,0,0,0,0
14,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Suplente,Visitante,PLATGES DE CALVIA A,19,0,0,0,8
15,"COCA ANTELO, ANDREW",MALLORCA B,Suplente,Visitante,PLATGES DE CALVIA A,19,0,0,0,8
16,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Suplente,Visitante,PLATGES DE CALVIA A,19,0,0,0,8
17,"MOLINA DONAIRE, DANIEL",MALLORCA B,Suplente,Visitante,PLATGES DE CALVIA A,19,0,0,0,37
18,"AVILÉS MAESTRE, JOEL",MALLORCA B,Suplente,Visitante,PLATGES DE CALVIA A,19,0,0,0,26
