numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Local,PENYA INDEPENDENT A,19,0,0,0,90
2,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Titular,Local,PENYA INDEPENDENT A,19,0,0,0,90
3,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Titular,Local,PENYA INDEPENDENT A,19,0,0,0,60
4,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Local,PENYA INDEPENDENT A,19,0,0,0,90
5,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Titular,Local,PENYA INDEPENDENT A,19,0,1,0,90
6,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Local,PENYA INDEPENDENT A,19,0,0,0,90
7,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Titular,Local,PENYA INDEPENDENT A,19,0,0,0,60
8,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Local,PENYA INDEPENDENT A,19,1,0,0,90
9,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Local,PENYA INDEPENDENT A,19,0,0,0,83
10,"LUNEGRO, BRUNO",SAN FRANCISCO B,Titular,Local,PENYA INDEPENDENT A,19,0,0,0,90
11,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Titular,Local,PENYA INDEPENDENT A,19,0,0,0,72
12,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Suplente,Local,PENYA INDEPENDENT A,19,0,0,0,18
14,"DIAZ ROMERO, GYLBERT",SAN FRANCISCO B,Suplente,Local,PENYA INDEPENDENT A,19,0,0,0,0
15,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Suplente,Local,PENYA INDEPENDENT A,19,0,0,0,0
16,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Suplente,Local,PENYA INDEPENDENT A,19,0,0,0,30
17,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Suplente,Local,PENYA INDEPENDENT A,19,0,0,0,30
18,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Suplente,Local,PENYA INDEPENDENT A,19,0,0,0,0
19,"TEJADA RODRIGUEZ, JOAN",SAN FRANCISCO B,Suplente,Local,PENYA INDEPENDENT A,19,0,0,0,7
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Titular,Visitante,SAN FRANCISCO B,19,0,0,0,90
2,"MARTINEZ GARCIA, ENRIQUE",PENYA INDEPENDENT A,Titular,Visitante,SAN FRANCISCO B,19,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,SAN FRANCISCO B,19,0,1,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Visitante,SAN FRANCISCO B,19,0,0,0,90
7,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Visitante,SAN FRANCISCO B,19,0,0,0,65
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Visitante,SAN FRANCISCO B,19,0,0,0,90
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Titular,Visitante,SAN FRANCISCO B,19,0,0,0,65
11,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Titular,Visitante,SAN FRANCISCO B,19,0,0,0,80
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Visitante,SAN FRANCISCO B,19,0,0,0,80
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,SAN FRANCISCO B,19,0,0,0,90
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Titular,Visitante,SAN FRANCISCO B,19,0,0,0,58
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Suplente,Visitante,SAN FRANCISCO B,19,0,0,0,0
5,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Visitante,SAN FRANCISCO B,19,0,0,0,10
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Suplente,Visitante,SAN FRANCISCO B,19,0,0,0,10
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Suplente,Visitante,SAN FRANCISCO B,19,0,0,0,25
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Suplente,Visitante,SAN FRANCISCO B,19,0,0,0,25
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Suplente,Visitante,SAN FRANCISCO B,19,0,0,0,0
16,"IRUELA KLISHINA, DAVID",PENYA INDEPENDENT A,Suplente,Visitante,SAN FRANCISCO B,19,0,0,0,32
