numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Local,FERRERIES A,19,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Local,FERRERIES A,19,0,0,0,55
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Local,FERRERIES A,19,0,0,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Local,FERRERIES A,19,0,0,0,90
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Local,FERRERIES A,19,0,0,0,90
7,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Local,FERRERIES A,19,1,0,0,90
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Local,FERRERIES A,19,0,0,0,67
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Titular,Local,FERRERIES A,19,0,0,0,55
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Titular,Local,FERRERIES A,19,0,0,0,55
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Titular,Local,FERRERIES A,19,0,0,0,73
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Titular,Local,FERRERIES A,19,0,0,0,90
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Local,FERRERIES A,19,0,0,0,0
3,"ARROYO BERNAT, ALEJANDRO",SANTA CATALINA ATº A,Suplente,Local,FERRERIES A,19,0,0,0,17
10,"SASTRE BOTA, JAUME",SANTA CATALINA ATº A,Suplente,Local,FERRERIES A,19,0,0,0,23
12,"HASHIMOTO SEBASTIÁN, GAIZKA",SANTA CATALINA ATº A,Suplente,Local,FERRERIES A,19,0,0,0,35
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Suplente,Local,FERRERIES A,19,0,0,0,35
19,"ENTRENA CALDENTEY, MANUEL",SANTA CATALINA ATº A,Suplente,Local,FERRERIES A,19,0,0,0,0
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Local,FERRERIES A,19,0,0,0,35
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Visitante,SANTA CATALINA ATº A,19,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Visitante,SANTA CATALINA ATº A,19,0,0,0,90
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Visitante,SANTA CATALINA ATº A,19,0,1,0,55
5,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Visitante,SANTA CATALINA ATº A,19,1,0,0,90
6,"ROTGER LÓPEZ, LLUC",FERRERIES A,Titular,Visitante,SANTA CATALINA ATº A,19,0,1,0,55
7,"JANER BOSCH, NOFRE",FERRERIES A,Titular,Visitante,SANTA CATALINA ATº A,19,0,0,0,73
10,"BOSCH PULIDO, NIL",FERRERIES A,Titular,Visitante,SANTA CATALINA ATº A,19,0,0,0,90
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Visitante,SANTA CATALINA ATº A,19,0,0,0,90
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Titular,Visitante,SANTA CATALINA ATº A,19,0,0,0,90
17,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Visitante,SANTA CATALINA ATº A,19,0,0,0,70
21,"CAMPS CARETA, PERE",FERRERIES A,Titular,Visitante,SANTA CATALINA ATº A,19,0,0,0,55
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Suplente,Visitante,SANTA CATALINA ATº A,19,0,1,0,17
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Suplente,Visitante,SANTA CATALINA ATº A,19,1,0,0,35
12,"TRIAY HIERRO, TEO",FERRERIES A,Suplente,Visitante,SANTA CATALINA ATº A,19,0,0,0,20
18,"SINTES PONS, PAU",FERRERIES A,Suplente,Visitante,SANTA CATALINA ATº A,19,0,0,0,35
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Suplente,Visitante,SANTA CATALINA ATº A,19,0,0,0,35
23,"PONS CAMPRUBI, POL",FERRERIES A,Suplente,Visitante,SANTA CATALINA ATº A,19,0,0,0,0
