numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"ORFILA QUINTANA, AARON",UD MAHON,Titular,Local,PALMA F.C.,19,0,0,0,90
2,"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",UD MAHON,Titular,Local,PALMA F.C.,19,0,0,0,90
3,"LASSO VIAFARA, ANDRES FELIPE",UD MAHON,Titular,Local,PALMA F.C.,19,0,0,0,46
4,"GOMEZ GORDILLO, RAUL",UD MAHON,Titular,Local,PALMA F.C.,19,0,0,0,90
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Local,PALMA F.C.,19,1,0,0,90
6,"DIALLO, FODE",UD MAHON,Titular,Local,PALMA F.C.,19,0,1,0,46
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Local,PALMA F.C.,19,4,0,0,65
8,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Local,PALMA F.C.,19,0,1,0,90
9,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Titular,Local,PALMA F.C.,19,0,1,0,55
10,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Local,PALMA F.C.,19,0,0,0,90
11,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Local,PALMA F.C.,19,0,1,0,55
12,"BOLIVAR PERAL, ROGER",UD MAHON,Suplente,Local,PALMA F.C.,19,0,0,0,44
13,"LASSO VIAFARA, DUVAN FELIPE",UD MAHON,Suplente,Local,PALMA F.C.,19,0,0,0,0
14,"GRUBAC, NOA",UD MAHON,Suplente,Local,PALMA F.C.,19,0,0,0,0
15,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Suplente,Local,PALMA F.C.,19,0,0,0,44
16,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Suplente,Local,PALMA F.C.,19,0,0,0,25
17,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Suplente,Local,PALMA F.C.,19,0,1,0,35
18,"SINTES MELERO, ALVARO",UD MAHON,Suplente,Local,PALMA F.C.,19,0,0,0,35
1,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Titular,Visitante,UD MAHON,19,0,0,0,90
2,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Titular,Visitante,UD MAHON,19,0,0,0,65
3,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Titular,Visitante,UD MAHON,19,0,0,0,31
4,JOAN,PALMA F.C.,Titular,Visitante,UD MAHON,19,1,0,0,90
5,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Visitante,UD MAHON,19,0,1,0,61
6,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Titular,Visitante,UD MAHON,19,0,0,0,90
7,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Visitante,UD MAHON,19,0,0,0,90
8,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Visitante,UD MAHON,19,0,0,1,90
9,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Visitante,UD MAHON,19,0,0,0,61
10,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Visitante,UD MAHON,19,1,0,0,90
11,"FOLGADO GARNICA, PAULO",PALMA F.C.,Titular,Visitante,UD MAHON,19,0,0,0,46
12,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Suplente,Visitante,UD MAHON,19,0,0,0,59
13,"HERNANDEZ PILO, IKER",PALMA F.C.,Suplente,Visitante,UD MAHON,19,0,0,0,0
14,"KEANEY, DANIEL THOMAS",PALMA F.C.,Suplente,Visitante,UD MAHON,19,0,0,0,0
15,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Suplente,Visitante,UD MAHON,19,0,0,0,29
16,"ALLENDES SEPULVEDA, MARTIN ALONSO",PALMA F.C.,Suplente,Visitante,UD MAHON,19,0,0,0,25
17,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Suplente,Visitante,UD MAHON,19,0,0,0,29
18,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Suplente,Visitante,UD MAHON,19,0,0,0,44
