numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Titular,Local,PENYA ARRABAL A,1,0,0,0,90
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Local,PENYA ARRABAL A,1,0,1,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Local,PENYA ARRABAL A,1,0,0,0,90
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Titular,Local,PENYA ARRABAL A,1,0,1,0,46
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Titular,Local,PENYA ARRABAL A,1,0,0,0,51
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Titular,Local,PENYA ARRABAL A,1,0,0,0,71
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Local,PENYA ARRABAL A,1,0,0,0,90
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Titular,Local,PENYA ARRABAL A,1,0,0,0,90
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Titular,Local,PENYA ARRABAL A,1,0,0,0,46
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Titular,Local,PENYA ARRABAL A,1,0,0,0,46
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Local,PENYA ARRABAL A,1,1,0,0,90
2,"RIBAS ROSALIA, XAVIER",CONSTANCIA A,Suplente,Local,PENYA ARRABAL A,1,0,0,0,0
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Suplente,Local,PENYA ARRABAL A,1,0,0,0,19
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Suplente,Local,PENYA ARRABAL A,1,0,0,0,44
13,"MIR OLMO, JORDI",CONSTANCIA A,Suplente,Local,PENYA ARRABAL A,1,0,0,0,0
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Suplente,Local,PENYA ARRABAL A,1,0,0,0,44
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Suplente,Local,PENYA ARRABAL A,1,0,0,0,39
17,"SABATER SANCHO, MARC",CONSTANCIA A,Suplente,Local,PENYA ARRABAL A,1,0,0,0,44
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Titular,Visitante,CONSTANCIA A,1,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Visitante,CONSTANCIA A,1,0,0,0,90
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Titular,Visitante,CONSTANCIA A,1,0,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Visitante,CONSTANCIA A,1,0,0,0,90
7,"ARALUCE SERRA, ADRIAN",PENYA ARRABAL A,Titular,Visitante,CONSTANCIA A,1,0,0,0,46
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Visitante,CONSTANCIA A,1,0,1,0,94
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Visitante,CONSTANCIA A,1,0,0,0,79
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Visitante,CONSTANCIA A,1,0,0,0,90
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Titular,Visitante,CONSTANCIA A,1,1,0,0,61
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Visitante,CONSTANCIA A,1,0,1,0,90
23,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Visitante,CONSTANCIA A,1,1,0,0,61
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Suplente,Visitante,CONSTANCIA A,1,0,0,0,0
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Suplente,Visitante,CONSTANCIA A,1,0,0,0,-4
5,"BELFAQUIH ZBAT, ANUAR",PENYA ARRABAL A,Suplente,Visitante,CONSTANCIA A,1,0,0,0,0
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Suplente,Visitante,CONSTANCIA A,1,0,0,0,29
16,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Visitante,CONSTANCIA A,1,0,1,0,11
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Suplente,Visitante,CONSTANCIA A,1,1,0,0,44
22,"PONS SERRANO, ALEIX",PENYA ARRABAL A,Suplente,Visitante,CONSTANCIA A,1,0,0,0,29
