numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RADO ASENCIO, IKER",MANACOR A,Titular,Local,SP. ATº CIUTAT DE PALMA,1,0,0,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Titular,Local,SP. ATº CIUTAT DE PALMA,1,0,1,0,78
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Local,SP. ATº CIUTAT DE PALMA,1,0,0,0,90
6,"MORENO CALDENTEY, JAIME I",MANACOR A,Titular,Local,SP. ATº CIUTAT DE PALMA,1,0,0,0,90
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Titular,Local,SP. ATº CIUTAT DE PALMA,1,0,0,0,62
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Local,SP. ATº CIUTAT DE PALMA,1,0,0,0,86
10,"POSTIGO GARAT, RAUL",MANACOR A,Titular,Local,SP. ATº CIUTAT DE PALMA,1,1,0,0,90
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Titular,Local,SP. ATº CIUTAT DE PALMA,1,0,0,0,78
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Local,SP. ATº CIUTAT DE PALMA,1,0,1,0,90
17,"ARCOS MUÑOZ, IKER",MANACOR A,Titular,Local,SP. ATº CIUTAT DE PALMA,1,1,0,0,62
18,"SOLER CALDENTEY, JOEL",MANACOR A,Titular,Local,SP. ATº CIUTAT DE PALMA,1,0,0,0,90
13,"GARCIA MESTRE, DAVID",MANACOR A,Suplente,Local,SP. ATº CIUTAT DE PALMA,1,0,0,0,0
15,"BARCELO PALMER, JUAN",MANACOR A,Suplente,Local,SP. ATº CIUTAT DE PALMA,1,0,0,0,12
16,"MARTINEZ ABELLAN, IKER",MANACOR A,Suplente,Local,SP. ATº CIUTAT DE PALMA,1,0,0,0,28
19,"RODRIGUEZ LOPEZ, RAUL",MANACOR A,Suplente,Local,SP. ATº CIUTAT DE PALMA,1,0,0,0,12
20,"ADROVER GARRIDO, GERARD",MANACOR A,Suplente,Local,SP. ATº CIUTAT DE PALMA,1,0,0,0,0
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Suplente,Local,SP. ATº CIUTAT DE PALMA,1,0,0,0,28
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Suplente,Local,SP. ATº CIUTAT DE PALMA,1,0,1,0,4
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MANACOR A,1,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MANACOR A,1,0,0,0,90
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MANACOR A,1,0,0,0,90
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MANACOR A,1,0,0,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MANACOR A,1,0,0,0,90
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MANACOR A,1,0,0,0,78
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MANACOR A,1,0,0,0,90
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MANACOR A,1,0,0,0,43
19,"MARTINEZ GOMEZ, DYLAN",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MANACOR A,1,0,0,0,78
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MANACOR A,1,0,0,0,45
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,MANACOR A,1,0,0,0,86
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,MANACOR A,1,0,0,0,0
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,MANACOR A,1,0,0,0,45
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,MANACOR A,1,0,0,0,47
12,"BLANCO VALERO, DAVID",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,MANACOR A,1,0,0,0,0
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,MANACOR A,1,0,0,0,4
27,"GOMEZ BARBOSA, RICARDO ADRIAN",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,MANACOR A,1,0,0,0,12
29,"KEITA SIDIBE, MADY",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,MANACOR A,1,0,1,0,12
