numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MALLORCA B,1,0,0,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MALLORCA B,1,0,0,0,90
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MALLORCA B,1,0,0,0,64
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MALLORCA B,1,0,0,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MALLORCA B,1,0,0,0,90
8,"FLORIT ANGLADA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MALLORCA B,1,0,1,0,90
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MALLORCA B,1,0,1,0,74
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MALLORCA B,1,0,0,0,74
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MALLORCA B,1,0,0,0,16
18,"LOPEZ GONZALEZ, ALEJANDRO",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MALLORCA B,1,0,0,0,90
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MALLORCA B,1,0,1,0,64
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,MALLORCA B,1,0,0,0,0
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,MALLORCA B,1,0,0,0,26
6,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,MALLORCA B,1,0,0,0,16
12,"LEON JUAN, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,MALLORCA B,1,0,0,0,26
15,"PALLICER AGUILO, XAVIER",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,MALLORCA B,1,0,0,0,16
19,"ARGUIMBAU ALLES, MACIA",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,MALLORCA B,1,0,0,0,0
20,"TALTAVULL VALVERDE, IAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,MALLORCA B,1,0,0,0,74
1,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,0,0,0,46
3,"TEJADA LLADONET, ORIOL",MALLORCA B,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,0,0,0,74
4,"VERA SALINAS, ERIK",MALLORCA B,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,0,0,0,90
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,0,0,0,90
6,"BURGAYA GENOVART, FERRAN",MALLORCA B,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,0,1,0,90
7,"LAZARO TORRES, MARIO",MALLORCA B,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,0,0,0,67
8,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,0,0,0,90
9,"WHYTE ODUNZE, MICHAEL IKENNA",MALLORCA B,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,1,0,0,90
10,"HORRACH LLABRES, GERARDO",MALLORCA B,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,1,0,0,81
11,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,0,0,0,67
13,"VALLBONA SERRA, JOAN",MALLORCA B,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,0,0,0,0
12,"VAN DER MEER GARI, YANNICK",MALLORCA B,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,0,0,0,44
14,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,0,1,0,16
15,"COCA ANTELO, ANDREW",MALLORCA B,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,1,1,0,9
16,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,0,0,0,23
17,"AVILÉS MAESTRE, JOEL",MALLORCA B,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,0,0,0,0
18,"GARCIA LLOMPART, RAFEL",MALLORCA B,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,1,0,0,0,23
