numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Titular,Local,SD LA SALLE A,1,0,0,0,90
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Titular,Local,SD LA SALLE A,1,0,0,0,65
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Local,SD LA SALLE A,1,0,0,0,90
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Local,SD LA SALLE A,1,0,1,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Local,SD LA SALLE A,1,0,1,0,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Local,SD LA SALLE A,1,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Local,SD LA SALLE A,1,1,0,0,70
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,SD LA SALLE A,1,1,1,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Local,SD LA SALLE A,1,0,0,0,80
14,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,SD LA SALLE A,1,0,0,0,80
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Local,SD LA SALLE A,1,0,0,0,90
1,"DE SOUZA BUSTAMANTE, IZAN LUCAS",PLATGES DE CALVIA A,Suplente,Local,SD LA SALLE A,1,0,0,0,0
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Local,SD LA SALLE A,1,0,0,0,10
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Suplente,Local,SD LA SALLE A,1,0,0,0,10
17,"FERRAGUT DIAZ, TONI",PLATGES DE CALVIA A,Suplente,Local,SD LA SALLE A,1,0,0,0,25
18,"BLANES DÍAZ, FERNANDO",PLATGES DE CALVIA A,Suplente,Local,SD LA SALLE A,1,0,0,0,0
19,"GOMILA GAMERO, MARCOS",PLATGES DE CALVIA A,Suplente,Local,SD LA SALLE A,1,0,0,0,0
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Local,SD LA SALLE A,1,1,0,0,20
1,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Titular,Visitante,PLATGES DE CALVIA A,1,0,0,0,90
2,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Titular,Visitante,PLATGES DE CALVIA A,1,0,0,0,45
3,"GARCÍA GARCÍA, ÁLVARO",SD LA SALLE A,Titular,Visitante,PLATGES DE CALVIA A,1,0,0,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Visitante,PLATGES DE CALVIA A,1,0,0,0,58
6,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Visitante,PLATGES DE CALVIA A,1,0,0,0,90
7,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Titular,Visitante,PLATGES DE CALVIA A,1,0,1,0,45
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Visitante,PLATGES DE CALVIA A,1,0,0,0,90
9,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Visitante,PLATGES DE CALVIA A,1,1,0,1,90
10,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Titular,Visitante,PLATGES DE CALVIA A,1,0,0,0,53
11,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Visitante,PLATGES DE CALVIA A,1,0,0,0,90
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Visitante,PLATGES DE CALVIA A,1,0,0,0,58
13,"MAURA BOVER, TONI",SD LA SALLE A,Suplente,Visitante,PLATGES DE CALVIA A,1,0,0,0,0
5,"MARCH MOLINA, MARCOS",SD LA SALLE A,Suplente,Visitante,PLATGES DE CALVIA A,1,0,1,0,32
12,"PUYA TUR, OSCAR",SD LA SALLE A,Suplente,Visitante,PLATGES DE CALVIA A,1,0,0,0,45
14,"FUSTER CORTES, FERNANDO",SD LA SALLE A,Suplente,Visitante,PLATGES DE CALVIA A,1,1,0,0,45
15,"BAUZÁ CASTILLA, SANDRO",SD LA SALLE A,Suplente,Visitante,PLATGES DE CALVIA A,1,0,0,0,0
16,"HOMAR GARCIA, ROMAN",SD LA SALLE A,Suplente,Visitante,PLATGES DE CALVIA A,1,0,0,0,32
17,"PETRARCA, ELIA",SD LA SALLE A,Suplente,Visitante,PLATGES DE CALVIA A,1,0,0,0,37
