numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Local,PALMA F.C.,1,0,0,0,90
2,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Titular,Local,PALMA F.C.,1,0,0,0,60
3,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Titular,Local,PALMA F.C.,1,0,0,0,60
4,JOAN,SAN FRANCISCO B,Titular,Local,PALMA F.C.,1,0,0,0,90
5,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Local,PALMA F.C.,1,0,0,0,90
6,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Local,PALMA F.C.,1,0,0,0,90
7,"LLEDO SAMPOL, ADRIA",SAN FRANCISCO B,Titular,Local,PALMA F.C.,1,1,0,0,90
8,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Titular,Local,PALMA F.C.,1,0,0,0,60
9,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Titular,Local,PALMA F.C.,1,0,0,0,90
10,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Local,PALMA F.C.,1,0,0,0,45
11,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Titular,Local,PALMA F.C.,1,0,0,0,45
12,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Suplente,Local,PALMA F.C.,1,0,0,0,0
13,"FERRER TERUEL, ALVARO",SAN FRANCISCO B,Suplente,Local,PALMA F.C.,1,0,0,0,0
14,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Suplente,Local,PALMA F.C.,1,0,0,0,30
15,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Suplente,Local,PALMA F.C.,1,0,0,0,30
16,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Suplente,Local,PALMA F.C.,1,0,0,0,30
17,"LUNEGRO, BRUNO",SAN FRANCISCO B,Suplente,Local,PALMA F.C.,1,0,0,0,45
18,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Suplente,Local,PALMA F.C.,1,0,0,0,45
1,"SOTERAS CONTRERAS, JACOBO",PALMA F.C.,Titular,Visitante,SAN FRANCISCO B,1,0,0,0,90
3,"VICENS VIDAL, PAU",PALMA F.C.,Titular,Visitante,SAN FRANCISCO B,1,0,0,0,84
4,"CONDE, MAMADI",PALMA F.C.,Titular,Visitante,SAN FRANCISCO B,1,0,0,0,90
5,"BESTARD SERVERA, MARCOS",PALMA F.C.,Titular,Visitante,SAN FRANCISCO B,1,0,0,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Visitante,SAN FRANCISCO B,1,0,0,0,64
7,"SEGORBE GODOY, MARCOS",PALMA F.C.,Titular,Visitante,SAN FRANCISCO B,1,0,0,0,45
8,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Visitante,SAN FRANCISCO B,1,0,0,0,79
10,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Visitante,SAN FRANCISCO B,1,0,0,0,90
12,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Titular,Visitante,SAN FRANCISCO B,1,0,0,0,45
14,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Titular,Visitante,SAN FRANCISCO B,1,0,0,0,90
17,"ALLENDES SEPULVEDA, MARTIN ALONSO",PALMA F.C.,Titular,Visitante,SAN FRANCISCO B,1,0,0,0,90
2,"BADICU, GEORGE",PALMA F.C.,Suplente,Visitante,SAN FRANCISCO B,1,0,0,0,0
9,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Suplente,Visitante,SAN FRANCISCO B,1,0,0,0,11
11,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Suplente,Visitante,SAN FRANCISCO B,1,3,0,0,45
13,"CATRON, URIAS",PALMA F.C.,Suplente,Visitante,SAN FRANCISCO B,1,0,0,0,0
15,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Suplente,Visitante,SAN FRANCISCO B,1,0,0,0,45
16,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Suplente,Visitante,SAN FRANCISCO B,1,0,0,0,6
18,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Suplente,Visitante,SAN FRANCISCO B,1,0,0,0,26
