numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Local,PENYA INDEPENDENT A,1,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Local,PENYA INDEPENDENT A,1,1,0,0,77
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Local,PENYA INDEPENDENT A,1,0,1,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Local,PENYA INDEPENDENT A,1,0,0,0,90
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Local,PENYA INDEPENDENT A,1,0,0,0,90
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Local,PENYA INDEPENDENT A,1,1,0,0,90
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Titular,Local,PENYA INDEPENDENT A,1,0,0,0,50
10,"SASTRE BOTA, JAUME",SANTA CATALINA ATº A,Titular,Local,PENYA INDEPENDENT A,1,0,0,0,57
12,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Local,PENYA INDEPENDENT A,1,1,0,0,77
15,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Local,PENYA INDEPENDENT A,1,0,0,0,90
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Titular,Local,PENYA INDEPENDENT A,1,0,0,0,57
3,"NAVARRO BEZARES, JAVIER",SANTA CATALINA ATº A,Suplente,Local,PENYA INDEPENDENT A,1,0,0,0,33
7,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Suplente,Local,PENYA INDEPENDENT A,1,1,0,0,40
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Local,PENYA INDEPENDENT A,1,0,0,0,13
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Local,PENYA INDEPENDENT A,1,0,0,0,0
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Suplente,Local,PENYA INDEPENDENT A,1,0,0,0,33
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Suplente,Local,PENYA INDEPENDENT A,1,0,0,0,13
18,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Suplente,Local,PENYA INDEPENDENT A,1,0,0,0,0
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Titular,Visitante,SANTA CATALINA ATº A,1,0,0,0,90
2,"MARTINEZ GARCIA, ENRIQUE",PENYA INDEPENDENT A,Titular,Visitante,SANTA CATALINA ATº A,1,0,0,0,90
3,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Visitante,SANTA CATALINA ATº A,1,0,1,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Visitante,SANTA CATALINA ATº A,1,0,0,0,90
6,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Visitante,SANTA CATALINA ATº A,1,0,0,0,90
8,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Visitante,SANTA CATALINA ATº A,1,1,0,0,90
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Titular,Visitante,SANTA CATALINA ATº A,1,0,0,0,56
12,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Titular,Visitante,SANTA CATALINA ATº A,1,0,1,0,90
15,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Titular,Visitante,SANTA CATALINA ATº A,1,0,1,0,56
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,SANTA CATALINA ATº A,1,0,0,0,72
19,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Visitante,SANTA CATALINA ATº A,1,0,0,0,66
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Suplente,Visitante,SANTA CATALINA ATº A,1,0,0,0,0
5,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Suplente,Visitante,SANTA CATALINA ATº A,1,0,1,0,18
7,"IRUELA KLISHINA, DAVID",PENYA INDEPENDENT A,Suplente,Visitante,SANTA CATALINA ATº A,1,0,0,0,0
9,"AMASKOUT MANGAS, IMAD",PENYA INDEPENDENT A,Suplente,Visitante,SANTA CATALINA ATº A,1,0,0,0,34
11,"FERRER ROIG, JAUME",PENYA INDEPENDENT A,Suplente,Visitante,SANTA CATALINA ATº A,1,0,0,0,34
16,"JUAN GUASCH, JORDI MIQUEL",PENYA INDEPENDENT A,Suplente,Visitante,SANTA CATALINA ATº A,1,0,0,0,0
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Suplente,Visitante,SANTA CATALINA ATº A,1,0,0,0,24
