numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Local,POBLENSE A,1,0,0,0,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Local,POBLENSE A,1,0,0,0,66
3,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Local,POBLENSE A,1,0,0,0,90
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Local,POBLENSE A,1,0,0,0,70
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Local,POBLENSE A,1,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Local,POBLENSE A,1,0,0,0,90
7,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Local,POBLENSE A,1,0,0,0,70
8,"VALLS ANIORTE, TARIKU",U D IBIZA A,Titular,Local,POBLENSE A,1,0,0,0,90
9,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Local,POBLENSE A,1,0,0,0,90
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Local,POBLENSE A,1,0,0,0,90
11,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Local,POBLENSE A,1,0,0,0,45
12,"CUBERO GUASCH, JOAN",U D IBIZA A,Suplente,Local,POBLENSE A,1,0,0,0,20
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Local,POBLENSE A,1,0,0,0,0
14,"MEDINA ARANDA, SERGIO",U D IBIZA A,Suplente,Local,POBLENSE A,1,0,0,0,20
15,"VIERA GONZALEZ, SANTIAGO",U D IBIZA A,Suplente,Local,POBLENSE A,1,0,0,0,0
16,"OKROGLIC SOMOZA, LUKA",U D IBIZA A,Suplente,Local,POBLENSE A,1,0,0,0,0
18,"GHARBI KHAMMAL EL BAKKALI, NASROLLAH",U D IBIZA A,Suplente,Local,POBLENSE A,1,0,0,0,24
19,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Suplente,Local,POBLENSE A,1,0,0,0,45
13,"OLIVER RAMIS, PEP",POBLENSE A,Titular,Visitante,U D IBIZA A,1,0,1,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Visitante,U D IBIZA A,1,0,0,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Visitante,U D IBIZA A,1,0,0,0,45
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Titular,Visitante,U D IBIZA A,1,0,0,0,62
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Visitante,U D IBIZA A,1,0,0,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Visitante,U D IBIZA A,1,1,0,0,90
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Visitante,U D IBIZA A,1,0,0,0,80
20,"FERNANDEZ HEREDIA, ALEJANDRO",POBLENSE A,Titular,Visitante,U D IBIZA A,1,0,0,0,90
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Titular,Visitante,U D IBIZA A,1,0,0,0,90
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Visitante,U D IBIZA A,1,0,0,0,90
25,"TUR ESCALAS, TONI",POBLENSE A,Titular,Visitante,U D IBIZA A,1,0,0,0,90
2,"GIBSON, JASPER",POBLENSE A,Suplente,Visitante,U D IBIZA A,1,0,0,0,0
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Suplente,Visitante,U D IBIZA A,1,0,0,0,10
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Suplente,Visitante,U D IBIZA A,1,0,0,0,45
19,"VERGER ESTRANY, TOMEU",POBLENSE A,Suplente,Visitante,U D IBIZA A,1,0,0,0,28
