numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Local,SAN FRANCISCO B,20,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Local,SAN FRANCISCO B,20,0,0,0,90
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Local,SAN FRANCISCO B,20,1,1,0,90
7,"JANER BOSCH, NOFRE",FERRERIES A,Titular,Local,SAN FRANCISCO B,20,0,1,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Local,SAN FRANCISCO B,20,0,0,0,90
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Titular,Local,SAN FRANCISCO B,20,0,0,0,82
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Local,SAN FRANCISCO B,20,1,0,0,90
17,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Local,SAN FRANCISCO B,20,0,0,0,54
18,"MARIN HERNANDEZ, PAU",FERRERIES A,Titular,Local,SAN FRANCISCO B,20,0,0,0,58
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Titular,Local,SAN FRANCISCO B,20,0,0,0,58
22,"SINTES PONS, PAU",FERRERIES A,Titular,Local,SAN FRANCISCO B,20,0,0,0,82
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Suplente,Local,SAN FRANCISCO B,20,0,0,0,0
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Suplente,Local,SAN FRANCISCO B,20,0,0,0,8
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Suplente,Local,SAN FRANCISCO B,20,0,0,0,36
10,"BOSCH PULIDO, NIL",FERRERIES A,Suplente,Local,SAN FRANCISCO B,20,0,1,0,32
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Suplente,Local,SAN FRANCISCO B,20,0,0,0,0
21,"CAMPS CARETA, PERE",FERRERIES A,Suplente,Local,SAN FRANCISCO B,20,0,0,0,8
23,"ROTGER LÓPEZ, LLUC",FERRERIES A,Suplente,Local,SAN FRANCISCO B,20,0,0,0,32
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Visitante,FERRERIES A,20,0,0,0,90
2,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Titular,Visitante,FERRERIES A,20,0,0,0,90
3,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Titular,Visitante,FERRERIES A,20,0,0,0,58
4,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Visitante,FERRERIES A,20,0,0,0,90
5,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Titular,Visitante,FERRERIES A,20,0,0,0,90
6,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Visitante,FERRERIES A,20,0,0,0,90
7,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Visitante,FERRERIES A,20,0,0,0,64
8,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Visitante,FERRERIES A,20,0,1,0,90
9,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Visitante,FERRERIES A,20,0,0,0,64
10,"LUNEGRO, BRUNO",SAN FRANCISCO B,Titular,Visitante,FERRERIES A,20,0,0,0,64
11,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Titular,Visitante,FERRERIES A,20,0,0,0,58
12,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Suplente,Visitante,FERRERIES A,20,1,0,0,26
14,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Suplente,Visitante,FERRERIES A,20,0,0,0,0
15,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Suplente,Visitante,FERRERIES A,20,0,0,0,0
16,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Suplente,Visitante,FERRERIES A,20,0,0,0,32
17,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Suplente,Visitante,FERRERIES A,20,0,0,0,26
18,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Suplente,Visitante,FERRERIES A,20,0,0,0,26
19,"TEJADA RODRIGUEZ, JOAN",SAN FRANCISCO B,Suplente,Visitante,FERRERIES A,20,0,0,0,32
