numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Titular,Local,CONSTANCIA A,20,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Local,CONSTANCIA A,20,0,0,0,90
3,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Titular,Local,CONSTANCIA A,20,0,0,0,78
4,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Titular,Local,CONSTANCIA A,20,0,0,0,68
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Local,CONSTANCIA A,20,0,0,0,90
6,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Titular,Local,CONSTANCIA A,20,0,0,0,90
7,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Titular,Local,CONSTANCIA A,20,0,0,0,78
8,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Titular,Local,CONSTANCIA A,20,0,0,0,56
9,"SIDIROPOULOS, ANASTASIOS",MALLORCA B,Titular,Local,CONSTANCIA A,20,0,0,0,90
10,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Local,CONSTANCIA A,20,0,0,0,90
11,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Local,CONSTANCIA A,20,0,0,0,68
13,"CALDES SIMONET, CARLES",MALLORCA B,Suplente,Local,CONSTANCIA A,20,0,0,0,0
12,"TEJADA LLADONET, ORIOL",MALLORCA B,Suplente,Local,CONSTANCIA A,20,0,0,0,12
14,"VERA SALINAS, ERIK",MALLORCA B,Suplente,Local,CONSTANCIA A,20,0,0,0,22
15,"BURGAYA GENOVART, FERRAN",MALLORCA B,Suplente,Local,CONSTANCIA A,20,0,0,0,12
16,"COCA ANTELO, ANDREW",MALLORCA B,Suplente,Local,CONSTANCIA A,20,0,0,0,22
17,"MARTINEZ BELA, JAVIER",MALLORCA B,Suplente,Local,CONSTANCIA A,20,0,1,0,34
18,"LAZARO TORRES, MARIO",MALLORCA B,Suplente,Local,CONSTANCIA A,20,0,0,0,0
1,"MIR OLMO, JORDI",CONSTANCIA A,Titular,Visitante,MALLORCA B,20,0,0,0,90
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Visitante,MALLORCA B,20,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Visitante,MALLORCA B,20,0,0,0,90
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Titular,Visitante,MALLORCA B,20,0,1,0,90
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Visitante,MALLORCA B,20,0,0,0,90
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Visitante,MALLORCA B,20,0,0,0,90
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Visitante,MALLORCA B,20,0,0,0,6
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Titular,Visitante,MALLORCA B,20,0,0,0,74
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Titular,Visitante,MALLORCA B,20,0,0,0,46
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Titular,Visitante,MALLORCA B,20,0,0,0,74
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Visitante,MALLORCA B,20,0,1,0,73
13,"CARRIO RAMIS, MIGUEL LEONARDO",CONSTANCIA A,Suplente,Visitante,MALLORCA B,20,0,0,0,0
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Suplente,Visitante,MALLORCA B,20,0,0,0,16
9,"AMENGUAL PRIETO, CHRISTIAN",CONSTANCIA A,Suplente,Visitante,MALLORCA B,20,0,0,0,16
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Suplente,Visitante,MALLORCA B,20,0,0,0,0
11,"COLL AREVALO, JORDI",CONSTANCIA A,Suplente,Visitante,MALLORCA B,20,0,0,0,17
17,"SABATER SANCHO, MARC",CONSTANCIA A,Suplente,Visitante,MALLORCA B,20,0,0,0,44
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Visitante,MALLORCA B,20,0,0,0,84
