numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RADO ASENCIO, IKER",MANACOR A,Titular,Local,UD MAHON,20,0,0,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Titular,Local,UD MAHON,20,0,0,0,80
4,"GRAHAM, NATHAN STUART",MANACOR A,Titular,Local,UD MAHON,20,0,0,0,90
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Local,UD MAHON,20,0,0,0,90
9,"ALEGRIA DA SILVA, JOAO MIGUEL",MANACOR A,Titular,Local,UD MAHON,20,0,0,0,88
10,"POSTIGO GARAT, RAUL",MANACOR A,Titular,Local,UD MAHON,20,1,0,0,90
12,"ORTIZ CARROZA, ABRAHAM",MANACOR A,Titular,Local,UD MAHON,20,0,1,0,90
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Local,UD MAHON,20,0,0,0,90
18,"SOLER CALDENTEY, JOEL",MANACOR A,Titular,Local,UD MAHON,20,0,0,0,54
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Titular,Local,UD MAHON,20,0,1,0,80
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Local,UD MAHON,20,0,1,0,90
25,"BURGUERA BONET, JULIÀ",MANACOR A,Suplente,Local,UD MAHON,20,0,0,0,0
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Suplente,Local,UD MAHON,20,0,1,0,10
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Suplente,Local,UD MAHON,20,0,0,0,10
17,"VIVES HIDALGO, IKER",MANACOR A,Suplente,Local,UD MAHON,20,0,0,0,2
20,"ADROVER GARRIDO, GERARD",MANACOR A,Suplente,Local,UD MAHON,20,0,0,0,36
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Suplente,Local,UD MAHON,20,0,0,0,0
23,"MARTINEZ ABELLAN, IKER",MANACOR A,Suplente,Local,UD MAHON,20,0,0,0,0
13,"LASSO VIAFARA, ANDRES FELIPE",UD MAHON,Titular,Visitante,MANACOR A,20,0,0,0,90
2,"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",UD MAHON,Titular,Visitante,MANACOR A,20,0,0,0,67
3,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Visitante,MANACOR A,20,0,0,0,90
4,"GOMEZ GORDILLO, RAUL",UD MAHON,Titular,Visitante,MANACOR A,20,0,2,0,90
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Visitante,MANACOR A,20,0,0,0,90
6,"DIALLO, FODE",UD MAHON,Titular,Visitante,MANACOR A,20,0,1,0,61
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Visitante,MANACOR A,20,1,0,0,67
8,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Visitante,MANACOR A,20,0,0,0,90
9,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Titular,Visitante,MANACOR A,20,0,0,0,74
10,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Visitante,MANACOR A,20,0,0,0,90
11,"SINTES MELERO, ALVARO",UD MAHON,Titular,Visitante,MANACOR A,20,0,0,0,74
1,"ORFILA QUINTANA, AARON",UD MAHON,Suplente,Visitante,MANACOR A,20,0,0,0,0
12,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Suplente,Visitante,MANACOR A,20,0,0,0,16
14,"GRUBAC, NOA",UD MAHON,Suplente,Visitante,MANACOR A,20,1,0,0,23
15,"BOLIVAR PERAL, ROGER",UD MAHON,Suplente,Visitante,MANACOR A,20,0,0,0,29
16,"NGONG NGO, FABRICE",UD MAHON,Suplente,Visitante,MANACOR A,20,0,0,1,23
17,"LASSO VIAFARA, DUVAN FELIPE",UD MAHON,Suplente,Visitante,MANACOR A,20,0,0,0,0
18,"LOPEZ FERNANDEZ, MARC",UD MAHON,Suplente,Visitante,MANACOR A,20,0,0,0,16
