numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Titular,Local,SANTA CATALINA ATº A,20,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Local,SANTA CATALINA ATº A,20,0,0,0,70
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Local,SANTA CATALINA ATº A,20,0,0,0,90
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Local,SANTA CATALINA ATº A,20,0,1,0,58
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Titular,Local,SANTA CATALINA ATº A,20,0,0,0,90
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Local,SANTA CATALINA ATº A,20,1,1,0,81
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Local,SANTA CATALINA ATº A,20,0,0,0,90
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Titular,Local,SANTA CATALINA ATº A,20,1,0,0,70
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Titular,Local,SANTA CATALINA ATº A,20,0,0,0,70
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Local,SANTA CATALINA ATº A,20,0,0,0,90
21,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Local,SANTA CATALINA ATº A,20,0,0,0,90
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Suplente,Local,SANTA CATALINA ATº A,20,0,0,0,0
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Suplente,Local,SANTA CATALINA ATº A,20,0,0,0,20
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Suplente,Local,SANTA CATALINA ATº A,20,0,0,0,0
5,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Local,SANTA CATALINA ATº A,20,0,0,0,9
7,"MESQUIDA URIBE, XAVIER",PENYA ARRABAL A,Suplente,Local,SANTA CATALINA ATº A,20,0,0,0,32
11,"GARCES NAVARRETE, JEREMY",PENYA ARRABAL A,Suplente,Local,SANTA CATALINA ATº A,20,0,0,0,20
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Suplente,Local,SANTA CATALINA ATº A,20,0,0,0,20
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Titular,Visitante,PENYA ARRABAL A,20,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Visitante,PENYA ARRABAL A,20,0,0,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Visitante,PENYA ARRABAL A,20,0,0,0,70
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Visitante,PENYA ARRABAL A,20,0,0,0,84
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,PENYA ARRABAL A,20,0,0,0,78
7,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Visitante,PENYA ARRABAL A,20,0,0,0,90
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Visitante,PENYA ARRABAL A,20,0,0,0,70
10,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Visitante,PENYA ARRABAL A,20,0,0,0,90
15,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Titular,Visitante,PENYA ARRABAL A,20,0,1,0,90
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Titular,Visitante,PENYA ARRABAL A,20,0,0,0,90
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Visitante,PENYA ARRABAL A,20,0,0,0,70
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Suplente,Visitante,PENYA ARRABAL A,20,0,0,0,0
3,"AOUATE OHANA, YARIN",SANTA CATALINA ATº A,Suplente,Visitante,PENYA ARRABAL A,20,0,0,0,6
9,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Suplente,Visitante,PENYA ARRABAL A,20,0,0,0,20
12,"HASHIMOTO SEBASTIÁN, GAIZKA",SANTA CATALINA ATº A,Suplente,Visitante,PENYA ARRABAL A,20,0,0,0,20
19,"ARROYO BERNAT, ALEJANDRO",SANTA CATALINA ATº A,Suplente,Visitante,PENYA ARRABAL A,20,0,0,0,20
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Visitante,PENYA ARRABAL A,20,0,0,0,12
23,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Visitante,PENYA ARRABAL A,20,0,0,0,0
