numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Titular,Local,PALMA F.C.,20,0,0,0,90
2,"MARTINEZ GARCIA, ENRIQUE",PENYA INDEPENDENT A,Titular,Local,PALMA F.C.,20,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,PALMA F.C.,20,0,0,0,85
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Local,PALMA F.C.,20,0,0,0,90
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Titular,Local,PALMA F.C.,20,0,1,0,59
7,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Local,PALMA F.C.,20,1,0,0,59
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Local,PALMA F.C.,20,0,0,0,90
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Titular,Local,PALMA F.C.,20,0,1,0,46
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Titular,Local,PALMA F.C.,20,0,0,0,90
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,PALMA F.C.,20,0,0,0,90
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Titular,Local,PALMA F.C.,20,0,0,0,46
5,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Local,PALMA F.C.,20,0,0,0,0
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Suplente,Local,PALMA F.C.,20,0,0,0,44
11,"GHARBI KHAMMAL EL BAKKALI, NASROLLAH",PENYA INDEPENDENT A,Suplente,Local,PALMA F.C.,20,0,0,0,31
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Suplente,Local,PALMA F.C.,20,0,1,0,44
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Suplente,Local,PALMA F.C.,20,0,0,0,5
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Suplente,Local,PALMA F.C.,20,0,0,0,31
19,"ESCANDELL RIBAS, JOAN",PENYA INDEPENDENT A,Suplente,Local,PALMA F.C.,20,0,0,0,0
1,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Titular,Visitante,PENYA INDEPENDENT A,20,0,0,0,90
2,"ORTEGA CASTILLA, HUGO",PALMA F.C.,Titular,Visitante,PENYA INDEPENDENT A,20,0,1,0,90
3,"VICENS VIDAL, PAU",PALMA F.C.,Titular,Visitante,PENYA INDEPENDENT A,20,0,1,0,88
4,JOAN,PALMA F.C.,Titular,Visitante,PENYA INDEPENDENT A,20,0,0,0,90
5,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Visitante,PENYA INDEPENDENT A,20,0,0,0,90
6,"KEANEY, DANIEL THOMAS",PALMA F.C.,Titular,Visitante,PENYA INDEPENDENT A,20,0,0,0,90
7,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Titular,Visitante,PENYA INDEPENDENT A,20,0,0,0,59
8,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Visitante,PENYA INDEPENDENT A,20,0,0,0,46
9,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Titular,Visitante,PENYA INDEPENDENT A,20,1,0,0,90
10,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Visitante,PENYA INDEPENDENT A,20,0,1,0,90
11,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Visitante,PENYA INDEPENDENT A,20,1,0,0,90
12,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Suplente,Visitante,PENYA INDEPENDENT A,20,0,0,0,2
14,"ALLENDES SEPULVEDA, MARTIN ALONSO",PALMA F.C.,Suplente,Visitante,PENYA INDEPENDENT A,20,0,0,0,0
15,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Suplente,Visitante,PENYA INDEPENDENT A,20,0,0,0,0
16,"FOLGADO GARNICA, PAULO",PALMA F.C.,Suplente,Visitante,PENYA INDEPENDENT A,20,0,0,0,0
17,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Suplente,Visitante,PENYA INDEPENDENT A,20,0,0,0,31
18,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Suplente,Visitante,PENYA INDEPENDENT A,20,0,0,0,44
19,"FERRER NAVARRO, ERIK",PALMA F.C.,Suplente,Visitante,PENYA INDEPENDENT A,20,0,0,0,0
