numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"OLIVER RAMIS, PEP",POBLENSE A,Titular,Local,PLATGES DE CALVIA A,20,0,0,0,90
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Titular,Local,PLATGES DE CALVIA A,20,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Local,PLATGES DE CALVIA A,20,0,1,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Local,PLATGES DE CALVIA A,20,0,0,0,90
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Titular,Local,PLATGES DE CALVIA A,20,0,0,0,89
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Titular,Local,PLATGES DE CALVIA A,20,1,0,0,75
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Local,PLATGES DE CALVIA A,20,0,0,0,95
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Local,PLATGES DE CALVIA A,20,0,0,0,95
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Local,PLATGES DE CALVIA A,20,0,0,0,89
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Local,PLATGES DE CALVIA A,20,0,0,0,90
25,"TUR ESCALAS, TONI",POBLENSE A,Titular,Local,PLATGES DE CALVIA A,20,0,0,0,90
1,"BOUJJIA, AMIN",POBLENSE A,Suplente,Local,PLATGES DE CALVIA A,20,0,0,0,0
2,"GIBSON, JASPER",POBLENSE A,Suplente,Local,PLATGES DE CALVIA A,20,0,0,0,1
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Suplente,Local,PLATGES DE CALVIA A,20,0,0,0,15
12,"MEFTAH ES SALEMY, BILAL",POBLENSE A,Suplente,Local,PLATGES DE CALVIA A,20,0,0,0,-5
14,"JIMENA BELTRAN, CARLOS",POBLENSE A,Suplente,Local,PLATGES DE CALVIA A,20,0,0,0,1
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Suplente,Local,PLATGES DE CALVIA A,20,0,0,0,-5
22,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Suplente,Local,PLATGES DE CALVIA A,20,0,0,0,0
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Visitante,POBLENSE A,20,0,0,0,90
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Titular,Visitante,POBLENSE A,20,0,0,0,55
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Visitante,POBLENSE A,20,0,0,0,90
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Visitante,POBLENSE A,20,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Visitante,POBLENSE A,20,0,0,0,87
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,POBLENSE A,20,0,0,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Visitante,POBLENSE A,20,0,0,0,90
15,"SOLIVELLAS LLOMPART, JOAQUÍN",PLATGES DE CALVIA A,Titular,Visitante,POBLENSE A,20,0,0,0,55
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Titular,Visitante,POBLENSE A,20,0,0,0,70
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Visitante,POBLENSE A,20,0,0,0,90
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Visitante,POBLENSE A,20,0,1,0,87
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Visitante,POBLENSE A,20,0,0,0,0
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Suplente,Visitante,POBLENSE A,20,0,0,0,35
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Suplente,Visitante,POBLENSE A,20,0,0,0,0
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Suplente,Visitante,POBLENSE A,20,0,0,0,35
16,"FUENTES RULLAN, PABLO",PLATGES DE CALVIA A,Suplente,Visitante,POBLENSE A,20,0,0,0,3
17,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Suplente,Visitante,POBLENSE A,20,0,0,0,20
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Suplente,Visitante,POBLENSE A,20,0,0,0,3
