numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Titular,Local,PLA DE NA TESA A,20,0,0,0,90
2,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Titular,Local,PLA DE NA TESA A,20,0,1,0,74
3,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Titular,Local,PLA DE NA TESA A,20,0,0,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Local,PLA DE NA TESA A,20,0,1,0,59
5,"PUYA TUR, OSCAR",SD LA SALLE A,Titular,Local,PLA DE NA TESA A,20,0,0,0,90
6,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Local,PLA DE NA TESA A,20,0,0,0,74
7,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Local,PLA DE NA TESA A,20,0,0,0,90
8,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Local,PLA DE NA TESA A,20,0,1,0,63
9,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Local,PLA DE NA TESA A,20,0,0,0,63
10,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Titular,Local,PLA DE NA TESA A,20,0,0,0,90
11,"PETRARCA, ELIA",SD LA SALLE A,Titular,Local,PLA DE NA TESA A,20,0,0,0,90
1,"FEMENIAS SOTO, LLUC",SD LA SALLE A,Suplente,Local,PLA DE NA TESA A,20,0,0,0,0
12,"GIL MASSANET, LLUIS",SD LA SALLE A,Suplente,Local,PLA DE NA TESA A,20,0,0,0,27
14,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Suplente,Local,PLA DE NA TESA A,20,0,0,0,16
15,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Suplente,Local,PLA DE NA TESA A,20,0,0,0,16
16,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Local,PLA DE NA TESA A,20,0,0,0,27
17,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Suplente,Local,PLA DE NA TESA A,20,0,0,0,0
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Suplente,Local,PLA DE NA TESA A,20,0,1,0,31
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Visitante,SD LA SALLE A,20,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Visitante,SD LA SALLE A,20,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Visitante,SD LA SALLE A,20,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Visitante,SD LA SALLE A,20,0,1,0,90
5,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Titular,Visitante,SD LA SALLE A,20,0,0,0,75
6,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Visitante,SD LA SALLE A,20,0,0,0,90
7,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Visitante,SD LA SALLE A,20,0,0,0,90
8,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Visitante,SD LA SALLE A,20,0,0,0,90
9,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Titular,Visitante,SD LA SALLE A,20,0,0,0,61
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Visitante,SD LA SALLE A,20,0,0,0,90
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Visitante,SD LA SALLE A,20,0,0,0,82
13,"FATY, MALANG",PLA DE NA TESA A,Suplente,Visitante,SD LA SALLE A,20,0,0,0,0
14,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Suplente,Visitante,SD LA SALLE A,20,0,0,0,8
15,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Visitante,SD LA SALLE A,20,0,0,0,0
16,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Visitante,SD LA SALLE A,20,0,0,0,0
17,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Visitante,SD LA SALLE A,20,0,0,0,0
18,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Suplente,Visitante,SD LA SALLE A,20,0,0,0,15
19,"MORA GISPERT, HUGO",PLA DE NA TESA A,Suplente,Visitante,SD LA SALLE A,20,0,0,0,29
