numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,0,0,90
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,1,0,90
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,0,0,85
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,0,0,58
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,0,0,90
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,0,0,71
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,0,0,90
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,0,0,90
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,0,0,71
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,0,0,90
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,20,1,1,0,90
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,0,0,0
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,0,0,19
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,0,0,0
8,"FERNÁNDEZ CASSO, ALBERTO",SP. ATº CIUTAT DE PALMA,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,0,0,32
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,0,0,5
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,0,0,0
29,"KEITA SIDIBE, MADY",SP. ATº CIUTAT DE PALMA,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,20,0,0,0,19
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,20,0,0,0,90
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,20,0,0,0,90
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,20,0,0,0,90
6,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,20,0,0,0,58
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,20,0,0,0,67
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,20,0,1,0,90
