numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MIR OLMO, JORDI",CONSTANCIA A,Titular,Local,POBLENSE A,21,0,0,0,90
2,"BLANCO WEBER, NOAH",CONSTANCIA A,Titular,Local,POBLENSE A,21,0,0,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Local,POBLENSE A,21,0,0,0,90
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Local,POBLENSE A,21,0,1,0,75
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Local,POBLENSE A,21,0,1,0,90
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Local,POBLENSE A,21,0,0,0,90
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Titular,Local,POBLENSE A,21,0,1,0,57
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Local,POBLENSE A,21,1,0,0,85
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Titular,Local,POBLENSE A,21,0,0,0,90
17,"SABATER SANCHO, MARC",CONSTANCIA A,Titular,Local,POBLENSE A,21,0,0,0,57
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Local,POBLENSE A,21,1,1,0,75
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Suplente,Local,POBLENSE A,21,0,0,0,15
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Local,POBLENSE A,21,0,0,0,5
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Suplente,Local,POBLENSE A,21,0,0,0,0
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Suplente,Local,POBLENSE A,21,0,0,0,15
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Local,POBLENSE A,21,0,0,0,33
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Suplente,Local,POBLENSE A,21,0,1,0,33
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Suplente,Local,POBLENSE A,21,0,0,0,0
13,"OLIVER RAMIS, PEP",POBLENSE A,Titular,Visitante,CONSTANCIA A,21,0,0,0,90
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Titular,Visitante,CONSTANCIA A,21,0,0,0,82
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Visitante,CONSTANCIA A,21,0,0,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Visitante,CONSTANCIA A,21,0,0,0,90
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Titular,Visitante,CONSTANCIA A,21,0,0,0,90
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Visitante,CONSTANCIA A,21,0,1,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Visitante,CONSTANCIA A,21,1,0,0,90
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Visitante,CONSTANCIA A,21,0,0,0,45
22,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Titular,Visitante,CONSTANCIA A,21,0,0,0,64
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Visitante,CONSTANCIA A,21,0,1,0,45
25,"TUR ESCALAS, TONI",POBLENSE A,Titular,Visitante,CONSTANCIA A,21,0,0,0,82
1,"BOUJJIA LAMRINI, AMIN",POBLENSE A,Suplente,Visitante,CONSTANCIA A,21,0,0,0,0
2,"GIBSON, JASPER",POBLENSE A,Suplente,Visitante,CONSTANCIA A,21,0,0,0,8
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Suplente,Visitante,CONSTANCIA A,21,0,0,0,26
8,"THIAM BORRAS, KARIM",POBLENSE A,Suplente,Visitante,CONSTANCIA A,21,0,0,0,45
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Suplente,Visitante,CONSTANCIA A,21,0,0,0,45
15,"ASBAI HAMOUTI, ALI",POBLENSE A,Suplente,Visitante,CONSTANCIA A,21,0,0,0,0
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Suplente,Visitante,CONSTANCIA A,21,0,0,0,8
