numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"PASTOR MAS, MARC",PALMA F.C.,Titular,Local,FERRERIES A,21,0,0,0,90
2,"CONDE, MAMADI",PALMA F.C.,Titular,Local,FERRERIES A,21,0,0,0,90
3,"ORTEGA CASTILLA, HUGO",PALMA F.C.,Titular,Local,FERRERIES A,21,0,1,0,90
4,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Local,FERRERIES A,21,0,0,0,90
5,ZAPATA,PALMA F.C.,Titular,Local,FERRERIES A,21,0,0,0,90
6,"KEANEY, DANIEL THOMAS",PALMA F.C.,Titular,Local,FERRERIES A,21,0,0,0,90
7,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Local,FERRERIES A,21,1,0,0,85
8,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Local,FERRERIES A,21,0,0,0,85
9,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Titular,Local,FERRERIES A,21,1,0,0,90
10,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Local,FERRERIES A,21,0,1,0,77
11,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Titular,Local,FERRERIES A,21,0,0,0,59
13,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Suplente,Local,FERRERIES A,21,0,0,0,0
12,"VICENS VIDAL, PAU",PALMA F.C.,Suplente,Local,FERRERIES A,21,0,0,0,0
14,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Suplente,Local,FERRERIES A,21,0,0,0,5
15,"ALLENDES SEPULVEDA, MARTIN ALONSO",PALMA F.C.,Suplente,Local,FERRERIES A,21,0,0,0,5
16,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Suplente,Local,FERRERIES A,21,0,0,0,0
17,"FOLGADO GARNICA, PAULO",PALMA F.C.,Suplente,Local,FERRERIES A,21,0,0,0,13
18,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Suplente,Local,FERRERIES A,21,0,0,0,31
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Visitante,PALMA F.C.,21,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Visitante,PALMA F.C.,21,0,1,0,90
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Visitante,PALMA F.C.,21,0,0,0,90
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Visitante,PALMA F.C.,21,0,0,0,90
7,"JANER BOSCH, NOFRE",FERRERIES A,Titular,Visitante,PALMA F.C.,21,0,0,0,90
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Visitante,PALMA F.C.,21,0,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Visitante,PALMA F.C.,21,0,1,0,90
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Titular,Visitante,PALMA F.C.,21,0,0,0,31
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Visitante,PALMA F.C.,21,0,0,0,90
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Titular,Visitante,PALMA F.C.,21,0,0,0,53
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Titular,Visitante,PALMA F.C.,21,0,0,0,67
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Suplente,Visitante,PALMA F.C.,21,0,0,0,0
10,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Suplente,Visitante,PALMA F.C.,21,0,0,0,59
17,"ROTGER LÓPEZ, LLUC",FERRERIES A,Suplente,Visitante,PALMA F.C.,21,0,0,0,37
21,"CAMPS CARETA, PERE",FERRERIES A,Suplente,Visitante,PALMA F.C.,21,0,0,0,23
