numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Local,MALLORCA B,21,0,0,0,90
2,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Titular,Local,MALLORCA B,21,0,0,0,51
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Local,MALLORCA B,21,0,0,0,82
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Local,MALLORCA B,21,0,0,0,90
5,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Titular,Local,MALLORCA B,21,0,0,0,46
6,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Local,MALLORCA B,21,0,0,0,90
7,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Local,MALLORCA B,21,1,0,0,90
8,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Local,MALLORCA B,21,0,1,0,90
9,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Local,MALLORCA B,21,0,0,0,75
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Local,MALLORCA B,21,1,0,0,90
11,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Local,MALLORCA B,21,0,0,0,75
13,"FATY, MALANG",PLA DE NA TESA A,Suplente,Local,MALLORCA B,21,0,0,0,0
14,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Suplente,Local,MALLORCA B,21,0,0,0,0
15,"DRAGHI, MAXIMO",PLA DE NA TESA A,Suplente,Local,MALLORCA B,21,0,0,0,39
16,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Local,MALLORCA B,21,0,0,0,15
17,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Local,MALLORCA B,21,0,0,0,44
18,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Suplente,Local,MALLORCA B,21,0,0,0,15
19,"FERNÁNDEZ RODRÍGUEZ, IKER",PLA DE NA TESA A,Suplente,Local,MALLORCA B,21,0,0,0,8
1,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Titular,Visitante,PLA DE NA TESA A,21,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Visitante,PLA DE NA TESA A,21,0,0,0,31
3,"TEJADA LLADONET, ORIOL",MALLORCA B,Titular,Visitante,PLA DE NA TESA A,21,0,0,0,85
4,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Titular,Visitante,PLA DE NA TESA A,21,0,0,0,90
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Visitante,PLA DE NA TESA A,21,0,0,0,90
6,"BURGAYA GENOVART, FERRAN",MALLORCA B,Titular,Visitante,PLA DE NA TESA A,21,0,0,0,85
7,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Titular,Visitante,PLA DE NA TESA A,21,2,0,0,90
8,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Titular,Visitante,PLA DE NA TESA A,21,0,0,0,90
9,"SIDIROPOULOS, ANASTASIOS",MALLORCA B,Titular,Visitante,PLA DE NA TESA A,21,0,0,0,61
10,"MARTINEZ BELA, JAVIER",MALLORCA B,Titular,Visitante,PLA DE NA TESA A,21,0,0,0,90
11,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Visitante,PLA DE NA TESA A,21,0,0,0,90
12,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Suplente,Visitante,PLA DE NA TESA A,21,0,0,0,0
13,"VALLBONA SERRA, JOAN",MALLORCA B,Suplente,Visitante,PLA DE NA TESA A,21,0,0,0,0
14,"VERA SALINAS, ERIK",MALLORCA B,Suplente,Visitante,PLA DE NA TESA A,21,0,0,0,59
15,"COCA ANTELO, ANDREW",MALLORCA B,Suplente,Visitante,PLA DE NA TESA A,21,0,0,0,5
16,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Suplente,Visitante,PLA DE NA TESA A,21,0,0,0,29
17,"GARCIA LLOMPART, RAFEL",MALLORCA B,Suplente,Visitante,PLA DE NA TESA A,21,0,0,0,5
18,"LAZARO TORRES, MARIO",MALLORCA B,Suplente,Visitante,PLA DE NA TESA A,21,0,0,0,0
