numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Local,SD LA SALLE A,21,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Local,SD LA SALLE A,21,0,0,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Local,SD LA SALLE A,21,0,1,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Local,SD LA SALLE A,21,0,0,0,80
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Local,SD LA SALLE A,21,0,0,0,90
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Local,SD LA SALLE A,21,0,0,0,90
10,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Local,SD LA SALLE A,21,1,1,0,94
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Local,SD LA SALLE A,21,0,0,0,90
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Titular,Local,SD LA SALLE A,21,0,0,0,61
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Local,SD LA SALLE A,21,0,0,0,80
22,"GARCIA BISQUERRA, JAVIER",SANTA CATALINA ATº A,Titular,Local,SD LA SALLE A,21,0,0,0,90
3,"ARROYO BERNAT, ALEJANDRO",SANTA CATALINA ATº A,Suplente,Local,SD LA SALLE A,21,0,0,0,0
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Suplente,Local,SD LA SALLE A,21,1,0,0,10
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Suplente,Local,SD LA SALLE A,21,0,0,0,-4
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Local,SD LA SALLE A,21,0,0,0,10
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Local,SD LA SALLE A,21,0,0,0,0
19,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Suplente,Local,SD LA SALLE A,21,0,1,0,29
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Local,SD LA SALLE A,21,0,0,0,0
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Titular,Visitante,SANTA CATALINA ATº A,21,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Visitante,SANTA CATALINA ATº A,21,0,0,0,90
3,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Titular,Visitante,SANTA CATALINA ATº A,21,0,0,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Visitante,SANTA CATALINA ATº A,21,0,0,0,90
6,"GIL MASSANET, LLUIS",SD LA SALLE A,Titular,Visitante,SANTA CATALINA ATº A,21,0,0,0,46
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Visitante,SANTA CATALINA ATº A,21,1,0,0,90
8,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Titular,Visitante,SANTA CATALINA ATº A,21,0,1,0,79
9,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Visitante,SANTA CATALINA ATº A,21,0,0,0,72
10,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Titular,Visitante,SANTA CATALINA ATº A,21,0,0,0,79
11,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Titular,Visitante,SANTA CATALINA ATº A,21,0,0,0,57
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Visitante,SANTA CATALINA ATº A,21,0,0,1,90
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Suplente,Visitante,SANTA CATALINA ATº A,21,0,0,0,0
12,"PUYA TUR, OSCAR",SD LA SALLE A,Suplente,Visitante,SANTA CATALINA ATº A,21,0,0,0,0
14,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Suplente,Visitante,SANTA CATALINA ATº A,21,0,0,0,11
15,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Suplente,Visitante,SANTA CATALINA ATº A,21,0,0,0,44
16,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Suplente,Visitante,SANTA CATALINA ATº A,21,0,0,0,33
17,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Suplente,Visitante,SANTA CATALINA ATº A,21,1,0,0,18
18,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Suplente,Visitante,SANTA CATALINA ATº A,21,0,0,0,11
