numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Local,MANACOR A,21,0,0,0,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Local,MANACOR A,21,0,0,0,66
3,"PERIAÑEZ RODRIGUEZ, DANIEL",U D IBIZA A,Titular,Local,MANACOR A,21,0,1,0,90
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Local,MANACOR A,21,0,1,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Local,MANACOR A,21,0,0,0,79
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Local,MANACOR A,21,0,1,0,90
7,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Local,MANACOR A,21,0,0,0,54
8,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Local,MANACOR A,21,0,0,0,79
9,"BELTRAN ALVAREZ, SERGIO",U D IBIZA A,Titular,Local,MANACOR A,21,0,1,0,90
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Local,MANACOR A,21,0,0,0,90
11,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Local,MANACOR A,21,0,0,0,90
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Local,MANACOR A,21,0,0,0,0
12,"TORRES RIERA, LLUC",U D IBIZA A,Suplente,Local,MANACOR A,21,0,0,0,0
14,"ROMAN MUÑOZ, ETHAN",U D IBIZA A,Suplente,Local,MANACOR A,21,0,0,0,0
15,"VALLS ANIORTE, TARIKU",U D IBIZA A,Suplente,Local,MANACOR A,21,0,0,0,11
16,"OKROGLIC SOMOZA, LUKA",U D IBIZA A,Suplente,Local,MANACOR A,21,0,0,0,11
18,"MARTOS VERGARA, DANIEL",U D IBIZA A,Suplente,Local,MANACOR A,21,0,0,0,24
19,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Suplente,Local,MANACOR A,21,0,0,0,36
1,"RADO ASENCIO, IKER",MANACOR A,Titular,Visitante,U D IBIZA A,21,0,0,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Titular,Visitante,U D IBIZA A,21,0,1,0,90
4,"GRAHAM, NATHAN STUART",MANACOR A,Titular,Visitante,U D IBIZA A,21,0,1,0,90
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Titular,Visitante,U D IBIZA A,21,0,0,0,90
9,"ALEGRIA DA SILVA, JOAO MIGUEL",MANACOR A,Titular,Visitante,U D IBIZA A,21,0,0,0,75
10,"POSTIGO GARAT, RAUL",MANACOR A,Titular,Visitante,U D IBIZA A,21,0,0,0,75
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Visitante,U D IBIZA A,21,0,0,0,90
17,"VIVES HIDALGO, IKER",MANACOR A,Titular,Visitante,U D IBIZA A,21,0,0,0,46
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Titular,Visitante,U D IBIZA A,21,0,2,0,90
20,"ADROVER GARRIDO, GERARD",MANACOR A,Titular,Visitante,U D IBIZA A,21,0,1,0,87
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Visitante,U D IBIZA A,21,0,0,0,90
25,"BURGUERA BONET, JULIÀ",MANACOR A,Suplente,Visitante,U D IBIZA A,21,0,0,0,0
8,"MARCOS MONGE, IKER",MANACOR A,Suplente,Visitante,U D IBIZA A,21,0,0,0,44
12,"ORTIZ CARROZA, ABRAHAM",MANACOR A,Suplente,Visitante,U D IBIZA A,21,0,0,0,15
15,"GOMILA ROSSELLO, SEBASTIÀ",MANACOR A,Suplente,Visitante,U D IBIZA A,21,0,0,0,0
18,"SOLER CALDENTEY, JOEL",MANACOR A,Suplente,Visitante,U D IBIZA A,21,0,0,0,15
21,"DIAGNE SARR, MAMADOU LAMINE",MANACOR A,Suplente,Visitante,U D IBIZA A,21,0,0,0,0
24,"MORALES RODRIGUEZ, MIGUEL ANGEL",MANACOR A,Suplente,Visitante,U D IBIZA A,21,0,0,0,3
