numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"LASSO VIAFARA, DUVAN FELIPE",UD MAHON,Titular,Local,PENYA INDEPENDENT A,21,0,0,0,90
2,"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",UD MAHON,Titular,Local,PENYA INDEPENDENT A,21,0,0,0,46
3,"LASSO VIAFARA, ANDRES FELIPE",UD MAHON,Titular,Local,PENYA INDEPENDENT A,21,0,1,0,90
4,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Local,PENYA INDEPENDENT A,21,0,1,0,90
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Local,PENYA INDEPENDENT A,21,0,0,0,90
6,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Local,PENYA INDEPENDENT A,21,0,0,0,67
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Local,PENYA INDEPENDENT A,21,0,0,0,77
8,"GRUBAC, NOA",UD MAHON,Titular,Local,PENYA INDEPENDENT A,21,0,0,0,90
9,"LOPEZ FERNANDEZ, MARC",UD MAHON,Titular,Local,PENYA INDEPENDENT A,21,2,1,0,90
10,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Local,PENYA INDEPENDENT A,21,0,0,0,77
11,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Local,PENYA INDEPENDENT A,21,0,0,0,67
1,"ORFILA QUINTANA, AARON",UD MAHON,Suplente,Local,PENYA INDEPENDENT A,21,0,0,0,0
12,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Suplente,Local,PENYA INDEPENDENT A,21,0,0,0,23
14,"FERNANDEZ ALONSO, ASIER",UD MAHON,Suplente,Local,PENYA INDEPENDENT A,21,0,1,0,44
15,"BOLIVAR PERAL, ROGER",UD MAHON,Suplente,Local,PENYA INDEPENDENT A,21,0,0,0,23
16,"SINTES MELERO, ALVARO",UD MAHON,Suplente,Local,PENYA INDEPENDENT A,21,1,0,0,13
17,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Suplente,Local,PENYA INDEPENDENT A,21,0,0,0,0
18,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Suplente,Local,PENYA INDEPENDENT A,21,0,0,0,13
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Titular,Visitante,UD MAHON,21,0,0,0,90
2,"MARTINEZ GARCIA, ENRIQUE",PENYA INDEPENDENT A,Titular,Visitante,UD MAHON,21,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,UD MAHON,21,0,0,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Visitante,UD MAHON,21,0,0,0,90
7,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Visitante,UD MAHON,21,0,0,0,73
8,"EL ATTARINE BOUZID, MOHAMED",PENYA INDEPENDENT A,Titular,Visitante,UD MAHON,21,0,0,0,90
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Visitante,UD MAHON,21,0,0,0,67
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Titular,Visitante,UD MAHON,21,1,0,0,90
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Titular,Visitante,UD MAHON,21,0,0,0,81
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Visitante,UD MAHON,21,0,0,0,81
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,UD MAHON,21,0,0,0,81
5,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Visitante,UD MAHON,21,0,0,0,0
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Suplente,Visitante,UD MAHON,21,0,0,0,9
11,"GHARBI KHAMMAL EL BAKKALI, NASROLLAH",PENYA INDEPENDENT A,Suplente,Visitante,UD MAHON,21,0,0,0,17
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Suplente,Visitante,UD MAHON,21,0,0,0,0
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Suplente,Visitante,UD MAHON,21,0,0,0,9
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Suplente,Visitante,UD MAHON,21,0,0,0,23
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Suplente,Visitante,UD MAHON,21,0,0,0,9
