numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Local,PLATGES DE CALVIA A,22,0,0,0,90
2,"PATRICIO TORRRENS, JUAN",ANDRATX A,Titular,Local,PLATGES DE CALVIA A,22,0,0,0,84
6,"TUR HORRACH, HUG",ANDRATX A,Titular,Local,PLATGES DE CALVIA A,22,0,0,0,90
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Local,PLATGES DE CALVIA A,22,0,1,0,68
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Local,PLATGES DE CALVIA A,22,0,0,0,90
15,"DE JUANA QUETGLAS, DIEGO",ANDRATX A,Titular,Local,PLATGES DE CALVIA A,22,0,0,0,90
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Local,PLATGES DE CALVIA A,22,0,0,0,46
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Local,PLATGES DE CALVIA A,22,0,1,0,90
20,"VILLARRAMIEL PIÑEIRO, IVAN",ANDRATX A,Titular,Local,PLATGES DE CALVIA A,22,0,1,0,90
22,"HOMAR GARCIA, ROMAN",ANDRATX A,Titular,Local,PLATGES DE CALVIA A,22,0,0,0,60
23,"DE JUANA QUETGLAS, SERGIO",ANDRATX A,Titular,Local,PLATGES DE CALVIA A,22,0,0,0,90
1,"DAM, NEO DUPONT",ANDRATX A,Suplente,Local,PLATGES DE CALVIA A,22,0,0,0,0
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Local,PLATGES DE CALVIA A,22,0,0,0,6
4,"MARCACCINI BOTTOLI, TADEO",ANDRATX A,Suplente,Local,PLATGES DE CALVIA A,22,0,0,0,0
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Suplente,Local,PLATGES DE CALVIA A,22,0,0,0,22
8,"ALMERING, BEPPE",ANDRATX A,Suplente,Local,PLATGES DE CALVIA A,22,0,0,0,0
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Suplente,Local,PLATGES DE CALVIA A,22,0,0,0,30
21,"SINTES DIAZ, JOAN",ANDRATX A,Suplente,Local,PLATGES DE CALVIA A,22,0,1,0,44
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Visitante,ANDRATX A,22,0,0,0,90
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Visitante,ANDRATX A,22,0,0,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Visitante,ANDRATX A,22,0,0,0,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Visitante,ANDRATX A,22,0,1,0,90
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Visitante,ANDRATX A,22,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Visitante,ANDRATX A,22,0,0,0,72
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,ANDRATX A,22,0,0,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Visitante,ANDRATX A,22,0,0,0,90
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Titular,Visitante,ANDRATX A,22,0,0,0,60
15,"SOLIVELLAS LLOMPART, JOAQUÍN",PLATGES DE CALVIA A,Titular,Visitante,ANDRATX A,22,0,0,0,90
21,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Visitante,ANDRATX A,22,0,0,0,90
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Visitante,ANDRATX A,22,0,0,0,0
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Visitante,ANDRATX A,22,0,0,0,0
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Visitante,ANDRATX A,22,0,0,0,0
17,"HOMANN KRIEK, KHEIDIN GERALD",PLATGES DE CALVIA A,Suplente,Visitante,ANDRATX A,22,0,0,0,0
18,"BORREGO, GIOVANNI RAIDEL",PLATGES DE CALVIA A,Suplente,Visitante,ANDRATX A,22,0,0,0,18
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Suplente,Visitante,ANDRATX A,22,0,0,0,0
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Visitante,ANDRATX A,22,0,0,0,30
