numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Local,PENYA INDEPENDENT A,22,0,1,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Local,PENYA INDEPENDENT A,22,0,0,0,90
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Local,PENYA INDEPENDENT A,22,0,0,0,3
5,"PULIDO COLL, IZAN",FERRERIES A,Titular,Local,PENYA INDEPENDENT A,22,0,0,0,45
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Local,PENYA INDEPENDENT A,22,0,0,0,90
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Local,PENYA INDEPENDENT A,22,0,0,0,83
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Local,PENYA INDEPENDENT A,22,1,0,0,90
10,"BOSCH PULIDO, NIL",FERRERIES A,Titular,Local,PENYA INDEPENDENT A,22,0,0,0,90
12,"TRIAY HIERRO, TEO",FERRERIES A,Titular,Local,PENYA INDEPENDENT A,22,0,0,0,75
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Local,PENYA INDEPENDENT A,22,1,1,0,90
19,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Titular,Local,PENYA INDEPENDENT A,22,0,1,0,75
7,"JANER BOSCH, NOFRE",FERRERIES A,Suplente,Local,PENYA INDEPENDENT A,22,0,0,0,45
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Suplente,Local,PENYA INDEPENDENT A,22,0,0,0,15
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Suplente,Local,PENYA INDEPENDENT A,22,0,0,0,7
17,"PONS CARRERAS, ANGEL",FERRERIES A,Suplente,Local,PENYA INDEPENDENT A,22,0,0,0,0
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Suplente,Local,PENYA INDEPENDENT A,22,0,0,0,87
23,"ROTGER LÓPEZ, LLUC",FERRERIES A,Suplente,Local,PENYA INDEPENDENT A,22,0,0,0,15
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Suplente,Local,PENYA INDEPENDENT A,22,0,0,0,0
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Titular,Visitante,FERRERIES A,22,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,FERRERIES A,22,0,0,0,45
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Visitante,FERRERIES A,22,0,1,0,90
5,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Titular,Visitante,FERRERIES A,22,0,0,0,66
7,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Visitante,FERRERIES A,22,0,0,0,90
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Visitante,FERRERIES A,22,1,1,0,72
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Titular,Visitante,FERRERIES A,22,0,0,0,90
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Titular,Visitante,FERRERIES A,22,0,0,0,90
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Visitante,FERRERIES A,22,0,0,0,90
16,"EL ATTARINE BOUZID, MOHAMED",PENYA INDEPENDENT A,Titular,Visitante,FERRERIES A,22,0,0,0,56
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,FERRERIES A,22,0,0,0,72
2,"MARTINEZ GARCIA, ENRIQUE",PENYA INDEPENDENT A,Suplente,Visitante,FERRERIES A,22,0,1,0,34
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Suplente,Visitante,FERRERIES A,22,0,0,0,0
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Suplente,Visitante,FERRERIES A,22,0,0,0,0
11,"GHARBI KHAMMAL EL BAKKALI, NASROLLAH",PENYA INDEPENDENT A,Suplente,Visitante,FERRERIES A,22,0,0,0,18
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Suplente,Visitante,FERRERIES A,22,0,0,0,45
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Suplente,Visitante,FERRERIES A,22,0,0,0,18
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Suplente,Visitante,FERRERIES A,22,0,0,0,24
