numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Titular,Local,SANTA CATALINA ATº A,22,0,0,0,90
2,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Local,SANTA CATALINA ATº A,22,1,1,0,90
3,"TEJADA LLADONET, ORIOL",MALLORCA B,Titular,Local,SANTA CATALINA ATº A,22,0,0,0,45
4,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Titular,Local,SANTA CATALINA ATº A,22,0,0,0,90
5,"VERA SALINAS, ERIK",MALLORCA B,Titular,Local,SANTA CATALINA ATº A,22,0,0,0,90
6,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Titular,Local,SANTA CATALINA ATº A,22,0,0,0,90
7,"MARTINEZ BELA, JAVIER",MALLORCA B,Titular,Local,SANTA CATALINA ATº A,22,1,0,0,90
8,"HORRACH LLABRES, GERARDO",MALLORCA B,Titular,Local,SANTA CATALINA ATº A,22,0,0,0,75
9,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Titular,Local,SANTA CATALINA ATº A,22,0,0,0,59
10,"COCA ANTELO, ANDREW",MALLORCA B,Titular,Local,SANTA CATALINA ATº A,22,0,0,0,90
11,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Local,SANTA CATALINA ATº A,22,0,0,0,75
12,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Suplente,Local,SANTA CATALINA ATº A,22,0,0,0,45
13,"VALLBONA SERRA, JOAN",MALLORCA B,Suplente,Local,SANTA CATALINA ATº A,22,0,0,0,0
14,"BURGAYA GENOVART, FERRAN",MALLORCA B,Suplente,Local,SANTA CATALINA ATº A,22,0,0,0,15
15,"LAZARO TORRES, MARIO",MALLORCA B,Suplente,Local,SANTA CATALINA ATº A,22,0,0,0,0
16,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Suplente,Local,SANTA CATALINA ATº A,22,1,0,0,15
17,"GARCIA LLOMPART, RAFEL",MALLORCA B,Suplente,Local,SANTA CATALINA ATº A,22,0,0,0,0
18,"SIDIROPOULOS, ANASTASIOS",MALLORCA B,Suplente,Local,SANTA CATALINA ATº A,22,1,1,0,31
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Visitante,MALLORCA B,22,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Visitante,MALLORCA B,22,0,0,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Visitante,MALLORCA B,22,0,0,0,64
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,MALLORCA B,22,0,0,0,75
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Visitante,MALLORCA B,22,0,1,0,64
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Visitante,MALLORCA B,22,0,0,0,75
10,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Visitante,MALLORCA B,22,1,0,0,90
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Visitante,MALLORCA B,22,0,0,0,90
15,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,MALLORCA B,22,0,0,0,90
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Titular,Visitante,MALLORCA B,22,0,0,0,90
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Visitante,MALLORCA B,22,0,0,0,90
3,"GARCIA BISQUERRA, JAVIER",SANTA CATALINA ATº A,Suplente,Visitante,MALLORCA B,22,0,0,0,0
4,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Suplente,Visitante,MALLORCA B,22,0,2,0,15
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Suplente,Visitante,MALLORCA B,22,0,0,0,0
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Visitante,MALLORCA B,22,0,0,0,0
17,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Visitante,MALLORCA B,22,0,0,0,26
19,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Suplente,Visitante,MALLORCA B,22,0,0,0,26
23,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Visitante,MALLORCA B,22,0,1,0,15
