numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RADO ASENCIO, IKER",MANACOR A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,0,0,90
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,0,0,90
6,"MORAGUES LLULL, TONI",MANACOR A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,0,0,64
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,1,0,64
10,"POSTIGO GARAT, RAUL",MANACOR A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,0,0,90
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,0,0,87
12,"ORTIZ CARROZA, ABRAHAM",MANACOR A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,0,0,90
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,1,0,90
15,"DOMINICI ALMONTE, ANTHONY DE JESUS",MANACOR A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,0,0,90
17,"VIVES HIDALGO, IKER",MANACOR A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,22,2,1,0,78
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,0,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,0,0,0
4,"GRAHAM, NATHAN STUART",MANACOR A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,0,0,26
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,1,0,26
16,"FUSTER GONZALEZ, SERGI",MANACOR A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,0,0,12
18,"SOLER CALDENTEY, JOEL",MANACOR A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,0,0,3
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,0,0,0
25,"BURGUERA BONET, JULIÀ",MANACOR A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,22,0,0,0,0
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MANACOR A,22,0,1,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MANACOR A,22,0,0,0,90
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MANACOR A,22,0,0,0,76
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MANACOR A,22,0,0,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MANACOR A,22,0,1,0,82
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MANACOR A,22,1,0,0,90
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MANACOR A,22,0,0,0,90
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MANACOR A,22,0,0,0,46
17,"PASCUAL GORNES, ENRIC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MANACOR A,22,0,0,0,46
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MANACOR A,22,0,0,0,90
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MANACOR A,22,0,1,0,64
6,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,MANACOR A,22,0,1,0,44
8,"FLORIT ANGLADA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,MANACOR A,22,0,0,0,26
12,"LEON JUAN, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,MANACOR A,22,0,0,0,14
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,MANACOR A,22,0,0,0,0
15,"MOLL PONS, ROBERTO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,MANACOR A,22,0,0,0,44
20,"MOLL PONS, MIQUEL",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,MANACOR A,22,0,0,0,8
