numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Titular,Local,PALMA F.C.,22,0,0,0,90
2,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Local,PALMA F.C.,22,0,0,0,85
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Local,PALMA F.C.,22,0,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Local,PALMA F.C.,22,0,0,0,90
7,"MESQUIDA URIBE, XAVIER",PENYA ARRABAL A,Titular,Local,PALMA F.C.,22,0,1,0,56
10,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Titular,Local,PALMA F.C.,22,1,0,0,72
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Titular,Local,PALMA F.C.,22,0,0,0,90
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Local,PALMA F.C.,22,0,0,0,90
19,"GARCES NAVARRETE, JEREMY",PENYA ARRABAL A,Titular,Local,PALMA F.C.,22,0,0,0,72
20,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Titular,Local,PALMA F.C.,22,0,0,0,90
21,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Local,PALMA F.C.,22,0,0,0,90
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Suplente,Local,PALMA F.C.,22,0,0,0,0
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Suplente,Local,PALMA F.C.,22,0,0,0,0
5,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Local,PALMA F.C.,22,0,0,0,5
9,"MORENO PUJOL, JAVIER",PENYA ARRABAL A,Suplente,Local,PALMA F.C.,22,0,0,0,34
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Suplente,Local,PALMA F.C.,22,0,0,0,0
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Suplente,Local,PALMA F.C.,22,0,0,0,18
23,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Suplente,Local,PALMA F.C.,22,0,0,0,18
1,"HERNANDEZ PILO, IKER",PALMA F.C.,Titular,Visitante,PENYA ARRABAL A,22,0,0,0,90
2,"CONDE, MAMADI",PALMA F.C.,Titular,Visitante,PENYA ARRABAL A,22,0,0,0,90
3,"ORTEGA CASTILLA, HUGO",PALMA F.C.,Titular,Visitante,PENYA ARRABAL A,22,0,0,0,90
4,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Visitante,PENYA ARRABAL A,22,0,0,0,90
5,JOAN,PALMA F.C.,Titular,Visitante,PENYA ARRABAL A,22,0,0,0,90
6,"KEANEY, DANIEL THOMAS",PALMA F.C.,Titular,Visitante,PENYA ARRABAL A,22,0,1,0,90
7,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Visitante,PENYA ARRABAL A,22,0,0,0,90
8,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Visitante,PENYA ARRABAL A,22,0,0,0,90
9,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Visitante,PENYA ARRABAL A,22,0,0,0,63
10,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Visitante,PENYA ARRABAL A,22,0,1,0,90
11,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Titular,Visitante,PENYA ARRABAL A,22,0,0,0,46
12,"VICENS VIDAL, PAU",PALMA F.C.,Suplente,Visitante,PENYA ARRABAL A,22,0,0,0,0
14,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Suplente,Visitante,PENYA ARRABAL A,22,0,0,0,0
15,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Suplente,Visitante,PENYA ARRABAL A,22,0,0,0,0
16,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Suplente,Visitante,PENYA ARRABAL A,22,0,0,0,27
17,"FOLGADO GARNICA, PAULO",PALMA F.C.,Suplente,Visitante,PENYA ARRABAL A,22,0,0,0,0
18,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Suplente,Visitante,PENYA ARRABAL A,22,1,0,0,44
19,"PASTOR MAS, MARC",PALMA F.C.,Suplente,Visitante,PENYA ARRABAL A,22,0,0,0,0
