numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"BOUJJIA LAMRINI, AMIN",POBLENSE A,Titular,Local,PLA DE NA TESA A,22,0,0,0,90
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Titular,Local,PLA DE NA TESA A,22,0,0,0,60
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Local,PLA DE NA TESA A,22,0,0,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Local,PLA DE NA TESA A,22,0,0,0,90
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Titular,Local,PLA DE NA TESA A,22,0,1,0,90
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Titular,Local,PLA DE NA TESA A,22,0,0,0,77
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Titular,Local,PLA DE NA TESA A,22,0,0,0,68
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Local,PLA DE NA TESA A,22,0,0,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Local,PLA DE NA TESA A,22,0,0,0,90
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Titular,Local,PLA DE NA TESA A,22,0,0,0,60
25,"TUR ESCALAS, TONI",POBLENSE A,Titular,Local,PLA DE NA TESA A,22,0,0,0,68
13,"OLIVER RAMIS, PEP",POBLENSE A,Suplente,Local,PLA DE NA TESA A,22,0,0,0,0
2,"GIBSON, JASPER",POBLENSE A,Suplente,Local,PLA DE NA TESA A,22,0,0,0,22
8,"THIAM BORRAS, KARIM",POBLENSE A,Suplente,Local,PLA DE NA TESA A,22,0,0,0,13
12,"MEFTAH ES SALEMY, BILAL",POBLENSE A,Suplente,Local,PLA DE NA TESA A,22,0,0,0,0
14,"JIMENA BELTRAN, CARLOS",POBLENSE A,Suplente,Local,PLA DE NA TESA A,22,0,0,0,30
15,"ASBAI HAMOUTI, ALI",POBLENSE A,Suplente,Local,PLA DE NA TESA A,22,0,0,0,30
22,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Suplente,Local,PLA DE NA TESA A,22,0,0,0,22
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Visitante,POBLENSE A,22,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Visitante,POBLENSE A,22,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Visitante,POBLENSE A,22,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Visitante,POBLENSE A,22,1,0,0,90
5,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Visitante,POBLENSE A,22,0,0,0,90
6,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Visitante,POBLENSE A,22,0,0,0,90
7,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Visitante,POBLENSE A,22,0,0,0,81
8,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Titular,Visitante,POBLENSE A,22,0,0,0,46
9,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Titular,Visitante,POBLENSE A,22,0,0,0,74
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Visitante,POBLENSE A,22,0,0,0,90
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Visitante,POBLENSE A,22,1,0,0,89
13,"FATY, MALANG",PLA DE NA TESA A,Suplente,Visitante,POBLENSE A,22,0,0,0,0
14,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Suplente,Visitante,POBLENSE A,22,0,0,0,0
15,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Visitante,POBLENSE A,22,0,0,0,0
16,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Visitante,POBLENSE A,22,0,0,0,1
17,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Visitante,POBLENSE A,22,0,0,0,16
18,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Suplente,Visitante,POBLENSE A,22,0,0,0,44
19,"FERNÁNDEZ RODRÍGUEZ, IKER",PLA DE NA TESA A,Suplente,Visitante,POBLENSE A,22,0,0,0,9
