numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Titular,Local,SAN FRANCISCO B,22,0,1,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Local,SAN FRANCISCO B,22,0,0,0,79
3,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Titular,Local,SAN FRANCISCO B,22,0,1,0,65
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Local,SAN FRANCISCO B,22,0,1,0,90
5,"PUYA TUR, OSCAR",SD LA SALLE A,Titular,Local,SAN FRANCISCO B,22,0,0,0,90
6,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Local,SAN FRANCISCO B,22,0,0,0,90
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Local,SAN FRANCISCO B,22,0,0,0,90
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Local,SAN FRANCISCO B,22,0,0,0,90
9,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Titular,Local,SAN FRANCISCO B,22,1,1,0,65
10,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Titular,Local,SAN FRANCISCO B,22,2,0,0,79
11,"PETRARCA, ELIA",SD LA SALLE A,Titular,Local,SAN FRANCISCO B,22,0,0,0,56
12,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Suplente,Local,SAN FRANCISCO B,22,0,0,0,11
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Suplente,Local,SAN FRANCISCO B,22,0,0,0,0
14,"GARCÍA GARCÍA, ÁLVARO",SD LA SALLE A,Suplente,Local,SAN FRANCISCO B,22,0,0,0,25
15,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Suplente,Local,SAN FRANCISCO B,22,0,0,0,11
16,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Local,SAN FRANCISCO B,22,0,0,0,0
17,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Suplente,Local,SAN FRANCISCO B,22,0,1,0,25
18,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Suplente,Local,SAN FRANCISCO B,22,0,0,0,34
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Visitante,SD LA SALLE A,22,0,0,0,90
2,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Titular,Visitante,SD LA SALLE A,22,0,0,0,70
3,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Titular,Visitante,SD LA SALLE A,22,0,1,0,70
4,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Visitante,SD LA SALLE A,22,0,0,0,90
5,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Titular,Visitante,SD LA SALLE A,22,0,0,0,90
6,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Visitante,SD LA SALLE A,22,0,0,0,90
7,"LUNEGRO, BRUNO",SAN FRANCISCO B,Titular,Visitante,SD LA SALLE A,22,0,0,0,79
8,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Visitante,SD LA SALLE A,22,1,0,0,90
9,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Visitante,SD LA SALLE A,22,1,0,0,70
10,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Titular,Visitante,SD LA SALLE A,22,0,0,0,58
11,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Titular,Visitante,SD LA SALLE A,22,0,1,0,90
12,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Suplente,Visitante,SD LA SALLE A,22,0,0,0,11
13,"GALVEZ JAUME, TONI",SAN FRANCISCO B,Suplente,Visitante,SD LA SALLE A,22,0,0,0,0
14,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Suplente,Visitante,SD LA SALLE A,22,0,0,0,20
15,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Suplente,Visitante,SD LA SALLE A,22,0,1,0,20
16,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Suplente,Visitante,SD LA SALLE A,22,0,0,0,32
17,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Suplente,Visitante,SD LA SALLE A,22,0,0,0,0
18,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Suplente,Visitante,SD LA SALLE A,22,0,0,0,20
