numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Titular,Local,CONSTANCIA A,22,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Local,CONSTANCIA A,22,0,0,0,79
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Local,CONSTANCIA A,22,0,0,0,90
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Local,CONSTANCIA A,22,0,0,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,CONSTANCIA A,22,0,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Local,CONSTANCIA A,22,1,0,0,67
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,CONSTANCIA A,22,0,0,0,79
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Titular,Local,CONSTANCIA A,22,0,0,0,90
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Titular,Local,CONSTANCIA A,22,0,0,0,67
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Local,CONSTANCIA A,22,0,1,0,59
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Titular,Local,CONSTANCIA A,22,0,0,0,90
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Suplente,Local,CONSTANCIA A,22,0,0,0,0
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Suplente,Local,CONSTANCIA A,22,0,0,0,23
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Suplente,Local,CONSTANCIA A,22,0,0,0,23
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Suplente,Local,CONSTANCIA A,22,2,0,0,31
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,CONSTANCIA A,22,0,0,0,11
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Suplente,Local,CONSTANCIA A,22,0,0,0,11
29,"KEITA SIDIBE, MADY",SP. ATº CIUTAT DE PALMA,Suplente,Local,CONSTANCIA A,22,0,0,0,0
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,0,90
2,"BLANCO WEBER, NOAH",CONSTANCIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,1,90
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,0,73
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,0,62
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,0,90
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,0,77
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,0,90
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,0,62
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,0,73
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,0,90
1,"MIR OLMO, JORDI",CONSTANCIA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,0,0
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,0,17
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,0,0
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,22,1,0,0,28
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,0,17
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,0,13
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,22,0,0,0,28
