numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Titular,Local,ANDRATX A,23,0,0,0,90
2,"BLANCO WEBER, NOAH",CONSTANCIA A,Titular,Local,ANDRATX A,23,0,0,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Local,ANDRATX A,23,0,1,0,63
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Local,ANDRATX A,23,1,1,0,90
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Local,ANDRATX A,23,0,0,0,63
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Local,ANDRATX A,23,1,0,0,90
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Titular,Local,ANDRATX A,23,0,0,0,90
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Titular,Local,ANDRATX A,23,1,0,0,77
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Titular,Local,ANDRATX A,23,0,0,0,70
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Titular,Local,ANDRATX A,23,0,1,0,70
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Titular,Local,ANDRATX A,23,0,1,0,90
1,"MIR OLMO, JORDI",CONSTANCIA A,Suplente,Local,ANDRATX A,23,0,0,0,0
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Suplente,Local,ANDRATX A,23,1,0,0,13
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Suplente,Local,ANDRATX A,23,0,0,0,20
11,"COLL AREVALO, JORDI",CONSTANCIA A,Suplente,Local,ANDRATX A,23,0,0,0,27
17,"SABATER SANCHO, MARC",CONSTANCIA A,Suplente,Local,ANDRATX A,23,0,0,0,20
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Suplente,Local,ANDRATX A,23,0,0,0,27
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Suplente,Local,ANDRATX A,23,0,0,0,0
1,"DAM, NEO DUPONT",ANDRATX A,Titular,Visitante,CONSTANCIA A,23,0,0,0,90
4,"SANCHEZ JIMENEZ, FERNANDO",ANDRATX A,Titular,Visitante,CONSTANCIA A,23,0,1,0,90
5,"OPREA, ALESSIO MIHAI",ANDRATX A,Titular,Visitante,CONSTANCIA A,23,0,0,0,90
6,"TUR HORRACH, HUG",ANDRATX A,Titular,Visitante,CONSTANCIA A,23,0,1,0,63
8,"ALMERING, BEPPE",ANDRATX A,Titular,Visitante,CONSTANCIA A,23,0,0,0,90
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Visitante,CONSTANCIA A,23,1,0,0,90
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Visitante,CONSTANCIA A,23,0,1,0,65
17,"DOBLAS TORRES, MIGUEL",ANDRATX A,Titular,Visitante,CONSTANCIA A,23,0,0,0,90
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Visitante,CONSTANCIA A,23,0,0,0,90
22,"HOMAR GARCIA, ROMAN",ANDRATX A,Titular,Visitante,CONSTANCIA A,23,0,0,0,45
23,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Visitante,CONSTANCIA A,23,0,0,0,90
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Visitante,CONSTANCIA A,23,0,0,0,27
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Suplente,Visitante,CONSTANCIA A,23,0,0,0,25
21,"SINTES DIAZ, JOAN",ANDRATX A,Suplente,Visitante,CONSTANCIA A,23,0,0,0,45
25,"HURTADO LOPEZ, IVAN",ANDRATX A,Suplente,Visitante,CONSTANCIA A,23,0,0,0,0
