numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"HERNANDEZ PILO, IKER",PALMA F.C.,Titular,Local,SD LA SALLE A,23,0,0,0,90
2,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Titular,Local,SD LA SALLE A,23,0,0,0,90
3,"ORTEGA CASTILLA, HUGO",PALMA F.C.,Titular,Local,SD LA SALLE A,23,0,0,0,58
4,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Local,SD LA SALLE A,23,0,0,0,90
5,JOAN,PALMA F.C.,Titular,Local,SD LA SALLE A,23,0,1,0,90
6,"KEANEY, DANIEL THOMAS",PALMA F.C.,Titular,Local,SD LA SALLE A,23,0,1,0,90
7,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Local,SD LA SALLE A,23,0,0,0,90
8,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Local,SD LA SALLE A,23,0,0,0,58
9,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Titular,Local,SD LA SALLE A,23,0,0,0,90
10,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Local,SD LA SALLE A,23,0,0,0,72
11,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Titular,Local,SD LA SALLE A,23,0,0,0,46
13,"PASTOR MAS, MARC",PALMA F.C.,Suplente,Local,SD LA SALLE A,23,0,0,0,0
12,"CONDE, MAMADI",PALMA F.C.,Suplente,Local,SD LA SALLE A,23,0,0,0,0
14,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Suplente,Local,SD LA SALLE A,23,0,1,0,32
15,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Suplente,Local,SD LA SALLE A,23,0,0,0,0
16,"GIL GOMILA, XAYRON",PALMA F.C.,Suplente,Local,SD LA SALLE A,23,0,0,0,44
17,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Suplente,Local,SD LA SALLE A,23,0,0,0,18
18,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Suplente,Local,SD LA SALLE A,23,0,0,0,32
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Titular,Visitante,PALMA F.C.,23,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Visitante,PALMA F.C.,23,0,0,0,78
3,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Titular,Visitante,PALMA F.C.,23,0,0,0,64
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Visitante,PALMA F.C.,23,1,0,0,90
5,"PUYA TUR, OSCAR",SD LA SALLE A,Titular,Visitante,PALMA F.C.,23,0,0,0,90
6,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Titular,Visitante,PALMA F.C.,23,0,0,0,64
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Visitante,PALMA F.C.,23,0,1,0,60
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Visitante,PALMA F.C.,23,0,0,0,90
9,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Titular,Visitante,PALMA F.C.,23,0,0,0,90
10,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Visitante,PALMA F.C.,23,0,0,0,90
11,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Visitante,PALMA F.C.,23,0,0,0,90
12,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Suplente,Visitante,PALMA F.C.,23,0,0,0,12
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Suplente,Visitante,PALMA F.C.,23,0,0,0,0
14,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Suplente,Visitante,PALMA F.C.,23,0,0,0,26
15,"GARCÍA GARCÍA, ÁLVARO",SD LA SALLE A,Suplente,Visitante,PALMA F.C.,23,0,0,0,26
16,"PETRARCA, ELIA",SD LA SALLE A,Suplente,Visitante,PALMA F.C.,23,0,0,0,30
