numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Titular,Local,PENYA ARRABAL A,23,0,0,0,46
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,PENYA ARRABAL A,23,0,1,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Local,PENYA ARRABAL A,23,0,0,0,90
7,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Titular,Local,PENYA ARRABAL A,23,0,0,0,56
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Local,PENYA ARRABAL A,23,0,1,0,90
10,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Local,PENYA ARRABAL A,23,1,0,0,88
11,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Local,PENYA ARRABAL A,23,2,0,0,90
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Titular,Local,PENYA ARRABAL A,23,0,0,0,90
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Local,PENYA ARRABAL A,23,0,0,0,90
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,PENYA ARRABAL A,23,0,1,0,90
19,"EL ATTARINE BOUZID, MOHAMED",PENYA INDEPENDENT A,Titular,Local,PENYA ARRABAL A,23,0,1,0,75
2,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Local,PENYA ARRABAL A,23,0,0,0,15
5,"JUAN GUASCH, JORDI MIQUEL",PENYA INDEPENDENT A,Suplente,Local,PENYA ARRABAL A,23,0,0,0,0
6,"BASILIO FERNANDEZ, MARC",PENYA INDEPENDENT A,Suplente,Local,PENYA ARRABAL A,23,0,0,0,2
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Suplente,Local,PENYA ARRABAL A,23,0,0,0,44
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Suplente,Local,PENYA ARRABAL A,23,0,0,0,34
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Titular,Visitante,PENYA INDEPENDENT A,23,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Visitante,PENYA INDEPENDENT A,23,0,0,0,90
6,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Visitante,PENYA INDEPENDENT A,23,0,0,0,90
7,"GARCES NAVARRETE, JEREMY",PENYA ARRABAL A,Titular,Visitante,PENYA INDEPENDENT A,23,0,0,0,90
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Visitante,PENYA INDEPENDENT A,23,0,0,0,90
11,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Visitante,PENYA INDEPENDENT A,23,1,0,0,73
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Visitante,PENYA INDEPENDENT A,23,0,0,0,90
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Titular,Visitante,PENYA INDEPENDENT A,23,0,0,0,70
16,"MORENO PUJOL, JAVIER",PENYA ARRABAL A,Titular,Visitante,PENYA INDEPENDENT A,23,0,0,0,90
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Visitante,PENYA INDEPENDENT A,23,0,1,0,90
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Titular,Visitante,PENYA INDEPENDENT A,23,1,0,0,90
13,"REINSHAGEN, EMANUEL",PENYA ARRABAL A,Suplente,Visitante,PENYA INDEPENDENT A,23,0,0,0,0
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Suplente,Visitante,PENYA INDEPENDENT A,23,0,0,0,0
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Suplente,Visitante,PENYA INDEPENDENT A,23,0,0,0,0
5,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Visitante,PENYA INDEPENDENT A,23,0,0,0,0
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Suplente,Visitante,PENYA INDEPENDENT A,23,0,0,0,0
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Suplente,Visitante,PENYA INDEPENDENT A,23,0,1,0,20
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Suplente,Visitante,PENYA INDEPENDENT A,23,0,0,0,17
