numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,89
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,90
5,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Titular,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,90
6,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,90
7,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,78
8,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Titular,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,82
9,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Titular,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,46
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,90
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Local,SP. ATº CIUTAT DE PALMA,23,2,0,0,90
13,"GINARD GENESTRA, PEP",PLA DE NA TESA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,0
14,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,8
15,"MONTES DE OCA LÓPEZ, VICTOR",PLA DE NA TESA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,0
16,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,12
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,0
18,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,1
19,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,23,0,0,0,44
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PLA DE NA TESA A,23,0,0,0,90
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PLA DE NA TESA A,23,0,0,0,90
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PLA DE NA TESA A,23,0,0,0,90
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PLA DE NA TESA A,23,0,0,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PLA DE NA TESA A,23,0,0,0,90
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PLA DE NA TESA A,23,0,0,0,72
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PLA DE NA TESA A,23,0,0,0,90
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PLA DE NA TESA A,23,1,0,0,90
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PLA DE NA TESA A,23,0,0,0,59
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PLA DE NA TESA A,23,0,1,0,67
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PLA DE NA TESA A,23,0,0,0,72
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PLA DE NA TESA A,23,0,0,0,0
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PLA DE NA TESA A,23,0,0,0,18
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PLA DE NA TESA A,23,0,0,0,0
8,"FERNÁNDEZ CASSO, ALBERTO",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PLA DE NA TESA A,23,0,0,0,18
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PLA DE NA TESA A,23,1,0,0,31
12,"BLANCO VALERO, DAVID",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PLA DE NA TESA A,23,0,0,0,0
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PLA DE NA TESA A,23,0,0,0,23
