numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Local,MANACOR A,23,0,0,0,90
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Titular,Local,MANACOR A,23,0,0,0,90
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Local,MANACOR A,23,0,0,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Local,MANACOR A,23,0,1,0,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Local,MANACOR A,23,0,0,0,90
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Local,MANACOR A,23,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Local,MANACOR A,23,0,0,0,90
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,MANACOR A,23,0,0,0,77
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Local,MANACOR A,23,0,0,0,63
15,"SOLIVELLAS LLOMPART, JOAQUÍN",PLATGES DE CALVIA A,Titular,Local,MANACOR A,23,0,0,0,90
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Local,MANACOR A,23,0,0,0,77
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Local,MANACOR A,23,0,0,0,0
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Local,MANACOR A,23,0,0,0,0
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Suplente,Local,MANACOR A,23,0,0,0,13
17,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Suplente,Local,MANACOR A,23,0,0,0,27
18,"VIOLA, RICCARDO",PLATGES DE CALVIA A,Suplente,Local,MANACOR A,23,0,0,0,0
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Suplente,Local,MANACOR A,23,0,0,0,0
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Local,MANACOR A,23,0,0,0,13
25,"BURGUERA BONET, JULIÀ",MANACOR A,Titular,Visitante,PLATGES DE CALVIA A,23,0,0,0,90
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Visitante,PLATGES DE CALVIA A,23,0,1,0,90
4,"GRAHAM, NATHAN STUART",MANACOR A,Titular,Visitante,PLATGES DE CALVIA A,23,0,0,0,90
6,"MORAGUES LLULL, TONI",MANACOR A,Titular,Visitante,PLATGES DE CALVIA A,23,0,0,0,90
10,"POSTIGO GARAT, RAUL",MANACOR A,Titular,Visitante,PLATGES DE CALVIA A,23,0,0,0,80
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Titular,Visitante,PLATGES DE CALVIA A,23,0,0,0,65
12,"ORTIZ CARROZA, ABRAHAM",MANACOR A,Titular,Visitante,PLATGES DE CALVIA A,23,0,0,0,46
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Visitante,PLATGES DE CALVIA A,23,0,0,0,65
17,"VIVES HIDALGO, IKER",MANACOR A,Titular,Visitante,PLATGES DE CALVIA A,23,0,0,0,89
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Titular,Visitante,PLATGES DE CALVIA A,23,0,0,0,90
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Visitante,PLATGES DE CALVIA A,23,0,0,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Suplente,Visitante,PLATGES DE CALVIA A,23,0,0,0,25
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Suplente,Visitante,PLATGES DE CALVIA A,23,0,0,0,44
13,"GARCIA MESTRE, DAVID",MANACOR A,Suplente,Visitante,PLATGES DE CALVIA A,23,0,0,0,0
15,"FUSTER GONZALEZ, ALBERT",MANACOR A,Suplente,Visitante,PLATGES DE CALVIA A,23,0,0,0,0
16,"FUSTER GONZALEZ, SERGI",MANACOR A,Suplente,Visitante,PLATGES DE CALVIA A,23,0,0,0,10
18,"SOLER CALDENTEY, JOEL",MANACOR A,Suplente,Visitante,PLATGES DE CALVIA A,23,0,0,0,1
20,"ADROVER GARRIDO, GERARD",MANACOR A,Suplente,Visitante,PLATGES DE CALVIA A,23,0,1,0,25
