numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Local,MALLORCA B,23,0,0,0,90
2,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Titular,Local,MALLORCA B,23,0,1,0,90
3,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Titular,Local,MALLORCA B,23,0,1,0,65
4,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Local,MALLORCA B,23,0,0,0,90
5,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Titular,Local,MALLORCA B,23,0,0,0,90
6,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Local,MALLORCA B,23,0,0,0,90
7,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Local,MALLORCA B,23,1,0,0,83
8,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Local,MALLORCA B,23,0,0,0,90
9,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Local,MALLORCA B,23,1,0,0,66
10,"LUNEGRO, BRUNO",SAN FRANCISCO B,Titular,Local,MALLORCA B,23,0,0,0,65
11,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Titular,Local,MALLORCA B,23,0,0,0,65
12,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Suplente,Local,MALLORCA B,23,0,0,0,7
14,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Suplente,Local,MALLORCA B,23,0,0,0,0
15,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Suplente,Local,MALLORCA B,23,0,0,0,0
16,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Suplente,Local,MALLORCA B,23,0,0,0,25
17,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Suplente,Local,MALLORCA B,23,0,0,0,25
18,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Suplente,Local,MALLORCA B,23,1,0,0,24
19,"DIAZ ROMERO, GYLBERT",SAN FRANCISCO B,Suplente,Local,MALLORCA B,23,0,0,0,25
1,"VALLBONA SERRA, JOAN",MALLORCA B,Titular,Visitante,SAN FRANCISCO B,23,0,0,0,90
2,"VERA SALINAS, ERIK",MALLORCA B,Titular,Visitante,SAN FRANCISCO B,23,0,0,0,90
3,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Titular,Visitante,SAN FRANCISCO B,23,0,1,0,66
4,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Titular,Visitante,SAN FRANCISCO B,23,0,0,1,90
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Visitante,SAN FRANCISCO B,23,0,0,0,90
6,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Titular,Visitante,SAN FRANCISCO B,23,0,0,0,66
7,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Titular,Visitante,SAN FRANCISCO B,23,2,0,0,90
8,"HORRACH LLABRES, GERARDO",MALLORCA B,Titular,Visitante,SAN FRANCISCO B,23,0,0,0,56
9,"SIDIROPOULOS, ANASTASIOS",MALLORCA B,Titular,Visitante,SAN FRANCISCO B,23,2,0,0,78
10,"MARTINEZ BELA, JAVIER",MALLORCA B,Titular,Visitante,SAN FRANCISCO B,23,0,0,0,66
11,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Visitante,SAN FRANCISCO B,23,1,1,0,90
12,"TEJADA LLADONET, ORIOL",MALLORCA B,Suplente,Visitante,SAN FRANCISCO B,23,0,1,0,24
13,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Suplente,Visitante,SAN FRANCISCO B,23,0,0,0,0
14,"BURGAYA GENOVART, FERRAN",MALLORCA B,Suplente,Visitante,SAN FRANCISCO B,23,0,0,0,34
15,"COCA ANTELO, ANDREW",MALLORCA B,Suplente,Visitante,SAN FRANCISCO B,23,0,0,0,24
16,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Suplente,Visitante,SAN FRANCISCO B,23,0,0,0,0
17,"MOLINA DONAIRE, DANIEL",MALLORCA B,Suplente,Visitante,SAN FRANCISCO B,23,0,0,0,24
18,"GARCIA LLOMPART, RAFEL",MALLORCA B,Suplente,Visitante,SAN FRANCISCO B,23,0,0,0,12
