numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Local,POBLENSE A,23,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Local,POBLENSE A,23,0,0,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Local,POBLENSE A,23,0,0,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Local,POBLENSE A,23,0,0,0,83
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Local,POBLENSE A,23,1,0,0,90
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Local,POBLENSE A,23,0,0,0,90
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Titular,Local,POBLENSE A,23,0,0,0,51
10,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Local,POBLENSE A,23,0,1,0,90
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Local,POBLENSE A,23,0,0,0,90
15,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Local,POBLENSE A,23,0,0,0,90
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Local,POBLENSE A,23,0,0,0,90
3,"ARROYO BERNAT, ALEJANDRO",SANTA CATALINA ATº A,Suplente,Local,POBLENSE A,23,0,0,0,0
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Local,POBLENSE A,23,0,0,0,7
12,"ENTRENA CALDENTEY, MANUEL",SANTA CATALINA ATº A,Suplente,Local,POBLENSE A,23,0,0,0,0
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Local,POBLENSE A,23,0,0,0,0
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Suplente,Local,POBLENSE A,23,0,0,0,0
19,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Suplente,Local,POBLENSE A,23,0,1,0,39
22,"GARCIA BISQUERRA, JAVIER",SANTA CATALINA ATº A,Suplente,Local,POBLENSE A,23,0,0,0,0
13,"OLIVER RAMIS, PEP",POBLENSE A,Titular,Visitante,SANTA CATALINA ATº A,23,0,0,0,38
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Titular,Visitante,SANTA CATALINA ATº A,23,0,1,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Visitante,SANTA CATALINA ATº A,23,0,0,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Visitante,SANTA CATALINA ATº A,23,0,0,0,90
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Titular,Visitante,SANTA CATALINA ATº A,23,0,0,0,92
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Titular,Visitante,SANTA CATALINA ATº A,23,0,0,0,70
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Titular,Visitante,SANTA CATALINA ATº A,23,0,0,0,90
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Visitante,SANTA CATALINA ATº A,23,0,0,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Visitante,SANTA CATALINA ATº A,23,0,1,0,90
20,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Titular,Visitante,SANTA CATALINA ATº A,23,0,1,0,70
25,"TUR ESCALAS, TONI",POBLENSE A,Titular,Visitante,SANTA CATALINA ATº A,23,0,0,0,92
1,"BOUJJIA LAMRINI, AMIN",POBLENSE A,Suplente,Visitante,SANTA CATALINA ATº A,23,0,0,0,52
2,"GIBSON, JASPER",POBLENSE A,Suplente,Visitante,SANTA CATALINA ATº A,23,0,0,0,20
12,"MEFTAH ES SALEMY, BILAL",POBLENSE A,Suplente,Visitante,SANTA CATALINA ATº A,23,0,0,0,-2
14,"JIMENA BELTRAN, CARLOS",POBLENSE A,Suplente,Visitante,SANTA CATALINA ATº A,23,0,0,0,20
15,"ASBAI HAMOUTI, ALI",POBLENSE A,Suplente,Visitante,SANTA CATALINA ATº A,23,0,0,0,0
17,"FIOL JAEN, ADRIAN",POBLENSE A,Suplente,Visitante,SANTA CATALINA ATº A,23,0,0,0,0
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Suplente,Visitante,SANTA CATALINA ATº A,23,0,0,0,-2
