numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"ORFILA QUINTANA, AARON",UD MAHON,Titular,Local,FERRERIES A,23,0,0,0,90
2,"NGONG NGO, FABRICE",UD MAHON,Titular,Local,FERRERIES A,23,0,0,0,90
3,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Local,FERRERIES A,23,0,0,0,90
4,"GOMEZ GORDILLO, RAUL",UD MAHON,Titular,Local,FERRERIES A,23,0,0,0,90
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Local,FERRERIES A,23,0,0,0,90
6,"DIALLO, FODE",UD MAHON,Titular,Local,FERRERIES A,23,0,1,0,63
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Local,FERRERIES A,23,1,0,0,69
8,"GRUBAC, NOA",UD MAHON,Titular,Local,FERRERIES A,23,0,0,0,77
9,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Titular,Local,FERRERIES A,23,2,1,0,69
10,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Local,FERRERIES A,23,0,0,0,88
11,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Local,FERRERIES A,23,0,0,0,90
12,"LASSO VIAFARA, ANDRES FELIPE",UD MAHON,Suplente,Local,FERRERIES A,23,0,0,0,0
13,"GASCON SASTRE, IKER",UD MAHON,Suplente,Local,FERRERIES A,23,0,0,0,0
14,"FERNANDEZ ALONSO, ASIER",UD MAHON,Suplente,Local,FERRERIES A,23,0,0,0,2
15,"BOLIVAR PERAL, ROGER",UD MAHON,Suplente,Local,FERRERIES A,23,0,1,0,27
16,"SINTES MELERO, ALVARO",UD MAHON,Suplente,Local,FERRERIES A,23,0,0,0,21
17,"LOPEZ FERNANDEZ, MARC",UD MAHON,Suplente,Local,FERRERIES A,23,0,0,0,21
18,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Suplente,Local,FERRERIES A,23,0,0,0,13
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Visitante,UD MAHON,23,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Visitante,UD MAHON,23,0,0,0,90
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Visitante,UD MAHON,23,0,1,0,90
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Visitante,UD MAHON,23,0,1,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Visitante,UD MAHON,23,1,0,0,77
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Visitante,UD MAHON,23,0,0,0,90
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Titular,Visitante,UD MAHON,23,1,0,0,90
17,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Visitante,UD MAHON,23,0,0,0,66
19,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Titular,Visitante,UD MAHON,23,0,0,0,77
21,"CAMPS CARETA, PERE",FERRERIES A,Titular,Visitante,UD MAHON,23,0,0,0,66
22,"SINTES PONS, PAU",FERRERIES A,Titular,Visitante,UD MAHON,23,0,1,0,90
7,"JANER BOSCH, NOFRE",FERRERIES A,Suplente,Visitante,UD MAHON,23,0,0,0,0
10,"BOSCH PULIDO, NIL",FERRERIES A,Suplente,Visitante,UD MAHON,23,0,0,0,13
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Suplente,Visitante,UD MAHON,23,0,0,0,24
18,"MARIN HERNANDEZ, PAU",FERRERIES A,Suplente,Visitante,UD MAHON,23,0,0,0,0
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Suplente,Visitante,UD MAHON,23,0,0,0,13
23,"ROTGER LÓPEZ, LLUC",FERRERIES A,Suplente,Visitante,UD MAHON,23,0,0,0,24
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Suplente,Visitante,UD MAHON,23,0,0,0,0
