numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Local,PLA DE NA TESA A,24,0,0,0,90
4,"DE JUANA QUETGLAS, DIEGO",ANDRATX A,Titular,Local,PLA DE NA TESA A,24,0,1,0,90
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Local,PLA DE NA TESA A,24,0,0,0,90
8,"ALMERING, BEPPE",ANDRATX A,Titular,Local,PLA DE NA TESA A,24,0,0,0,45
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Local,PLA DE NA TESA A,24,0,0,0,75
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Local,PLA DE NA TESA A,24,1,1,0,90
15,"DE JUANA QUETGLAS, SERGIO",ANDRATX A,Titular,Local,PLA DE NA TESA A,24,0,0,0,90
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Local,PLA DE NA TESA A,24,0,0,0,45
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Local,PLA DE NA TESA A,24,0,1,0,90
20,"VILLARRAMIEL PIÑEIRO, IVAN",ANDRATX A,Titular,Local,PLA DE NA TESA A,24,0,0,0,75
21,"SINTES DIAZ, JOAN",ANDRATX A,Titular,Local,PLA DE NA TESA A,24,0,0,0,63
1,"DAM, NEO DUPONT",ANDRATX A,Suplente,Local,PLA DE NA TESA A,24,0,0,0,0
2,"PATRICIO TORRRENS, JUAN",ANDRATX A,Suplente,Local,PLA DE NA TESA A,24,0,0,0,27
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Local,PLA DE NA TESA A,24,0,1,0,45
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Suplente,Local,PLA DE NA TESA A,24,0,0,0,15
12,"CASTELLO FERRA, JOAN",ANDRATX A,Suplente,Local,PLA DE NA TESA A,24,0,0,0,0
17,"DOBLAS TORRES, MIGUEL",ANDRATX A,Suplente,Local,PLA DE NA TESA A,24,0,0,0,45
23,"LIMA PUENTE, KEVIN ARIEL",ANDRATX A,Suplente,Local,PLA DE NA TESA A,24,0,1,0,15
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Visitante,ANDRATX A,24,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Visitante,ANDRATX A,24,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Visitante,ANDRATX A,24,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Visitante,ANDRATX A,24,0,0,0,90
5,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Visitante,ANDRATX A,24,0,1,0,90
6,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Visitante,ANDRATX A,24,0,0,0,90
7,"CACERES COMAS, SERGI",PLA DE NA TESA A,Titular,Visitante,ANDRATX A,24,1,0,0,53
8,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Visitante,ANDRATX A,24,0,0,0,90
9,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Visitante,ANDRATX A,24,0,0,0,89
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Visitante,ANDRATX A,24,0,0,0,90
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Visitante,ANDRATX A,24,1,0,0,90
13,"FATY, MALANG",PLA DE NA TESA A,Suplente,Visitante,ANDRATX A,24,0,0,0,0
14,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Suplente,Visitante,ANDRATX A,24,0,0,0,0
15,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Visitante,ANDRATX A,24,0,0,0,0
16,"MONTES DE OCA LÓPEZ, VICTOR",PLA DE NA TESA A,Suplente,Visitante,ANDRATX A,24,0,0,0,0
17,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Visitante,ANDRATX A,24,0,0,0,0
18,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Suplente,Visitante,ANDRATX A,24,0,0,0,37
19,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Visitante,ANDRATX A,24,0,0,0,1
