numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Titular,Local,PALMA F.C.,24,0,0,0,90
2,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Local,PALMA F.C.,24,2,0,0,90
3,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Titular,Local,PALMA F.C.,24,0,0,0,88
4,"VERA SALINAS, ERIK",MALLORCA B,Titular,Local,PALMA F.C.,24,0,0,0,90
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Local,PALMA F.C.,24,0,0,0,90
6,"BURGAYA GENOVART, FERRAN",MALLORCA B,Titular,Local,PALMA F.C.,24,0,0,0,90
7,"MARTINEZ BELA, JAVIER",MALLORCA B,Titular,Local,PALMA F.C.,24,0,1,0,88
8,"HORRACH LLABRES, GERARDO",MALLORCA B,Titular,Local,PALMA F.C.,24,0,0,0,76
9,"SIDIROPOULOS, ANASTASIOS",MALLORCA B,Titular,Local,PALMA F.C.,24,0,0,0,90
10,"LAZARO TORRES, MARIO",MALLORCA B,Titular,Local,PALMA F.C.,24,0,0,0,55
11,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Local,PALMA F.C.,24,0,0,0,55
12,"RIERA DAM, BIEL",MALLORCA B,Suplente,Local,PALMA F.C.,24,0,0,0,0
13,"VALLBONA SERRA, JOAN",MALLORCA B,Suplente,Local,PALMA F.C.,24,0,0,0,0
14,"TEJADA LLADONET, ORIOL",MALLORCA B,Suplente,Local,PALMA F.C.,24,0,0,0,2
15,"VERD ALONSO, ABEL",MALLORCA B,Suplente,Local,PALMA F.C.,24,0,0,0,35
16,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Suplente,Local,PALMA F.C.,24,0,0,0,14
17,"COCA ANTELO, ANDREW",MALLORCA B,Suplente,Local,PALMA F.C.,24,0,0,0,2
18,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Suplente,Local,PALMA F.C.,24,0,0,0,35
1,"HERNANDEZ PILO, IKER",PALMA F.C.,Titular,Visitante,MALLORCA B,24,0,0,0,90
2,"ORTEGA CASTILLA, HUGO",PALMA F.C.,Titular,Visitante,MALLORCA B,24,0,0,0,90
3,"VICENS VIDAL, PAU",PALMA F.C.,Titular,Visitante,MALLORCA B,24,0,2,0,90
4,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Visitante,MALLORCA B,24,0,0,0,90
5,JOAN,PALMA F.C.,Titular,Visitante,MALLORCA B,24,0,0,0,90
6,"KEANEY, DANIEL THOMAS",PALMA F.C.,Titular,Visitante,MALLORCA B,24,0,1,0,89
7,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Visitante,MALLORCA B,24,1,0,0,90
8,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Visitante,MALLORCA B,24,0,0,0,90
9,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Visitante,MALLORCA B,24,0,1,0,75
10,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Visitante,MALLORCA B,24,0,0,0,75
11,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Visitante,MALLORCA B,24,0,0,0,89
12,"CONDE, MAMADI",PALMA F.C.,Suplente,Visitante,MALLORCA B,24,0,0,0,0
13,"PASTOR MAS, MARC",PALMA F.C.,Suplente,Visitante,MALLORCA B,24,0,0,0,0
14,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Suplente,Visitante,MALLORCA B,24,0,0,0,0
15,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Suplente,Visitante,MALLORCA B,24,0,0,0,1
16,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Suplente,Visitante,MALLORCA B,24,0,0,0,15
17,"FOLGADO GARNICA, PAULO",PALMA F.C.,Suplente,Visitante,MALLORCA B,24,0,0,0,1
18,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Suplente,Visitante,MALLORCA B,24,0,0,1,15
