numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"BURGUERA BONET, JULIÀ",MANACOR A,Titular,Local,CONSTANCIA A,24,0,0,0,90
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Local,CONSTANCIA A,24,0,0,0,90
4,"GRAHAM, NATHAN STUART",MANACOR A,Titular,Local,CONSTANCIA A,24,0,0,0,90
5,"MORAGUES LLULL, TONI",MANACOR A,Titular,Local,CONSTANCIA A,24,0,0,0,90
6,"BAUZA COMPANY, JOAN",MANACOR A,Titular,Local,CONSTANCIA A,24,0,0,0,59
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Local,CONSTANCIA A,24,0,0,0,82
17,"VIVES HIDALGO, IKER",MANACOR A,Titular,Local,CONSTANCIA A,24,0,0,0,90
18,"DOMINICI ALMONTE, ANTHONY DE JESUS",MANACOR A,Titular,Local,CONSTANCIA A,24,0,0,0,46
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Titular,Local,CONSTANCIA A,24,0,0,0,68
20,"ADROVER GARRIDO, GERARD",MANACOR A,Titular,Local,CONSTANCIA A,24,0,0,0,59
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Local,CONSTANCIA A,24,0,1,0,90
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Suplente,Local,CONSTANCIA A,24,0,0,0,8
10,"POSTIGO GARAT, RAUL",MANACOR A,Suplente,Local,CONSTANCIA A,24,0,0,0,31
13,"GARCIA MESTRE, DAVID",MANACOR A,Suplente,Local,CONSTANCIA A,24,0,0,0,0
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Suplente,Local,CONSTANCIA A,24,0,0,0,44
15,"MORALES RODRIGUEZ, MIGUEL ANGEL",MANACOR A,Suplente,Local,CONSTANCIA A,24,0,0,0,31
16,"FUSTER GONZALEZ, SERGI",MANACOR A,Suplente,Local,CONSTANCIA A,24,0,0,0,22
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Suplente,Local,CONSTANCIA A,24,0,0,0,0
1,"MIR OLMO, JORDI",CONSTANCIA A,Titular,Visitante,MANACOR A,24,0,0,0,90
2,"BLANCO WEBER, NOAH",CONSTANCIA A,Titular,Visitante,MANACOR A,24,0,1,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Visitante,MANACOR A,24,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Visitante,MANACOR A,24,0,0,0,90
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Visitante,MANACOR A,24,0,0,0,73
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Visitante,MANACOR A,24,0,0,0,90
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Titular,Visitante,MANACOR A,24,0,0,0,60
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Titular,Visitante,MANACOR A,24,0,0,0,60
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Titular,Visitante,MANACOR A,24,0,0,0,90
17,"SABATER SANCHO, MARC",CONSTANCIA A,Titular,Visitante,MANACOR A,24,0,0,0,60
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Visitante,MANACOR A,24,0,0,0,82
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Suplente,Visitante,MANACOR A,24,0,0,0,30
11,"COLL AREVALO, JORDI",CONSTANCIA A,Suplente,Visitante,MANACOR A,24,0,0,0,17
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Suplente,Visitante,MANACOR A,24,0,0,0,0
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Suplente,Visitante,MANACOR A,24,0,1,0,30
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Visitante,MANACOR A,24,0,0,0,8
20,"AMENGUAL PRIETO, CHRISTIAN",CONSTANCIA A,Suplente,Visitante,MANACOR A,24,1,0,0,30
22,"ROBLES RADO, PAU",CONSTANCIA A,Suplente,Visitante,MANACOR A,24,0,0,0,0
