numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Titular,Local,FERRERIES A,24,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Local,FERRERIES A,24,0,0,0,90
5,"MORENO PUJOL, JAVIER",PENYA ARRABAL A,Titular,Local,FERRERIES A,24,0,0,0,71
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Local,FERRERIES A,24,0,0,0,90
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Titular,Local,FERRERIES A,24,1,0,0,67
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Local,FERRERIES A,24,0,0,0,67
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Local,FERRERIES A,24,0,0,0,81
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Titular,Local,FERRERIES A,24,1,0,0,71
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Local,FERRERIES A,24,0,0,0,90
19,"GARCES NAVARRETE, JEREMY",PENYA ARRABAL A,Titular,Local,FERRERIES A,24,0,0,0,90
21,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Local,FERRERIES A,24,0,0,0,90
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Suplente,Local,FERRERIES A,24,0,0,0,0
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Suplente,Local,FERRERIES A,24,0,0,0,9
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Suplente,Local,FERRERIES A,24,0,0,0,19
7,"MESQUIDA URIBE, XAVIER",PENYA ARRABAL A,Suplente,Local,FERRERIES A,24,0,0,0,23
12,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Suplente,Local,FERRERIES A,24,1,0,0,23
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Suplente,Local,FERRERIES A,24,1,0,0,19
20,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Suplente,Local,FERRERIES A,24,0,0,0,0
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Titular,Visitante,PENYA ARRABAL A,24,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Visitante,PENYA ARRABAL A,24,0,0,0,90
5,"PULIDO COLL, IZAN",FERRERIES A,Titular,Visitante,PENYA ARRABAL A,24,0,0,0,90
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Visitante,PENYA ARRABAL A,24,0,0,0,90
7,"JANER BOSCH, NOFRE",FERRERIES A,Titular,Visitante,PENYA ARRABAL A,24,0,0,0,71
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Visitante,PENYA ARRABAL A,24,0,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Visitante,PENYA ARRABAL A,24,0,0,0,90
10,"BOSCH PULIDO, NIL",FERRERIES A,Titular,Visitante,PENYA ARRABAL A,24,0,0,0,46
17,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Visitante,PENYA ARRABAL A,24,0,0,0,60
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Titular,Visitante,PENYA ARRABAL A,24,0,0,0,71
22,"SINTES PONS, PAU",FERRERIES A,Titular,Visitante,PENYA ARRABAL A,24,0,0,0,90
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Suplente,Visitante,PENYA ARRABAL A,24,0,0,0,0
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Suplente,Visitante,PENYA ARRABAL A,24,0,0,0,44
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Suplente,Visitante,PENYA ARRABAL A,24,0,0,0,19
19,"ROTGER LÓPEZ, LLUC",FERRERIES A,Suplente,Visitante,PENYA ARRABAL A,24,0,0,0,30
21,"CAMPS CARETA, PERE",FERRERIES A,Suplente,Visitante,PENYA ARRABAL A,24,0,0,0,19
