numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,UD MAHON,24,0,0,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,UD MAHON,24,0,0,0,60
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,UD MAHON,24,0,0,0,90
6,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,UD MAHON,24,0,1,0,73
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,UD MAHON,24,0,0,0,90
8,"FLORIT ANGLADA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,UD MAHON,24,0,0,0,86
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,UD MAHON,24,0,0,0,86
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,UD MAHON,24,0,0,0,90
15,"MOLL PONS, ROBERTO",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,UD MAHON,24,0,0,0,60
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,UD MAHON,24,0,0,0,90
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,UD MAHON,24,0,0,0,90
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,UD MAHON,24,0,0,0,30
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,UD MAHON,24,0,0,0,0
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,UD MAHON,24,0,0,0,4
17,"PASCUAL GORNES, ENRIC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,UD MAHON,24,1,0,0,30
18,"HUGUET ANGLADA, LLUIS",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,UD MAHON,24,0,0,0,4
19,"SALORT MARIN, JORGE",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,UD MAHON,24,0,0,0,17
20,"PARRONA ALOMSO, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,UD MAHON,24,0,0,0,0
1,"ORFILA QUINTANA, AARON",UD MAHON,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,0,0,90
2,"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",UD MAHON,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,0,0,90
3,"LASSO VIAFARA, ANDRES FELIPE",UD MAHON,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,0,0,90
4,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,0,0,90
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,0,0,90
6,"BOLIVAR PERAL, ROGER",UD MAHON,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,1,0,88
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,0,0,71
8,"GRUBAC, NOA",UD MAHON,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,0,0,54
9,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,0,0,45
10,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,0,0,90
11,"SINTES MELERO, ALVARO",UD MAHON,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,0,0,45
12,"FERNANDEZ ALONSO, ASIER",UD MAHON,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,0,0,0
13,"LASSO VIAFARA, DUVAN FELIPE",UD MAHON,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,0,0,0
14,"LOPEZ FERNANDEZ, MARC",UD MAHON,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,0,0,19
15,"MASCARO MARTINEZ, IKER",UD MAHON,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,1,0,36
17,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,0,0,45
18,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,0,0,2
21,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,24,0,0,0,45
