numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"BOUJJIA LAMRINI, AMIN",POBLENSE A,Titular,Local,SAN FRANCISCO B,24,0,0,1,90
2,"GIBSON, JASPER",POBLENSE A,Titular,Local,SAN FRANCISCO B,24,0,0,0,90
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Titular,Local,SAN FRANCISCO B,24,0,0,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Local,SAN FRANCISCO B,24,0,0,0,90
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Titular,Local,SAN FRANCISCO B,24,0,0,0,71
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Titular,Local,SAN FRANCISCO B,24,0,0,0,71
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Local,SAN FRANCISCO B,24,0,1,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Local,SAN FRANCISCO B,24,0,0,0,90
17,"FIOL JAEN, ADRIAN",POBLENSE A,Titular,Local,SAN FRANCISCO B,24,0,0,0,57
23,"FERNANDEZ GOMEZ, LEO",POBLENSE A,Titular,Local,SAN FRANCISCO B,24,0,0,0,71
25,"TUR ESCALAS, TONI",POBLENSE A,Titular,Local,SAN FRANCISCO B,24,0,0,0,80
13,"CORDERO VILARCHAO, CHRISTIAN",POBLENSE A,Suplente,Local,SAN FRANCISCO B,24,0,0,0,33
12,"MEFTAH ES SALEMY, BILAL",POBLENSE A,Suplente,Local,SAN FRANCISCO B,24,0,0,0,19
15,"ASBAI HAMOUTI, ALI",POBLENSE A,Suplente,Local,SAN FRANCISCO B,24,0,0,0,10
16,"CAPO LATORRE, MARC",POBLENSE A,Suplente,Local,SAN FRANCISCO B,24,0,0,0,0
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Suplente,Local,SAN FRANCISCO B,24,0,0,0,19
19,"CRESPI BENNASAR, TOMEU",POBLENSE A,Suplente,Local,SAN FRANCISCO B,24,0,0,0,0
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Suplente,Local,SAN FRANCISCO B,24,0,0,0,19
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Visitante,POBLENSE A,24,0,0,0,90
2,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Titular,Visitante,POBLENSE A,24,0,0,0,90
3,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Titular,Visitante,POBLENSE A,24,0,0,0,73
4,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Visitante,POBLENSE A,24,0,0,0,90
5,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Titular,Visitante,POBLENSE A,24,0,0,0,90
6,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Visitante,POBLENSE A,24,0,1,0,90
7,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Visitante,POBLENSE A,24,1,0,0,71
8,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Visitante,POBLENSE A,24,0,0,0,90
9,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Visitante,POBLENSE A,24,1,0,0,78
10,"LUNEGRO, BRUNO",SAN FRANCISCO B,Titular,Visitante,POBLENSE A,24,0,0,0,73
11,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Titular,Visitante,POBLENSE A,24,0,0,0,46
12,"TEJADA RODRIGUEZ, JOAN",SAN FRANCISCO B,Suplente,Visitante,POBLENSE A,24,0,0,0,0
14,"PADILLA BORRAS, PERE",SAN FRANCISCO B,Suplente,Visitante,POBLENSE A,24,0,0,0,0
15,"LLEDO SAMPOL, ADRIA",SAN FRANCISCO B,Suplente,Visitante,POBLENSE A,24,1,0,0,19
16,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Suplente,Visitante,POBLENSE A,24,0,0,0,44
17,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Suplente,Visitante,POBLENSE A,24,0,0,0,17
18,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Suplente,Visitante,POBLENSE A,24,0,0,0,12
19,"DIAZ ROMERO, GYLBERT",SAN FRANCISCO B,Suplente,Visitante,POBLENSE A,24,0,1,0,17
