numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Local,SANTA CATALINA ATº A,24,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Local,SANTA CATALINA ATº A,24,0,0,0,82
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Local,SANTA CATALINA ATº A,24,0,0,0,46
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Titular,Local,SANTA CATALINA ATº A,24,0,0,0,46
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Local,SANTA CATALINA ATº A,24,0,0,0,90
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Local,SANTA CATALINA ATº A,24,0,0,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,SANTA CATALINA ATº A,24,0,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Local,SANTA CATALINA ATº A,24,1,0,0,90
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,SANTA CATALINA ATº A,24,0,0,0,90
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Local,SANTA CATALINA ATº A,24,0,0,0,73
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Titular,Local,SANTA CATALINA ATº A,24,0,0,0,90
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Local,SANTA CATALINA ATº A,24,0,0,0,0
8,"FERNÁNDEZ CASSO, ALBERTO",SP. ATº CIUTAT DE PALMA,Suplente,Local,SANTA CATALINA ATº A,24,0,0,0,17
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Suplente,Local,SANTA CATALINA ATº A,24,0,0,0,44
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,SANTA CATALINA ATº A,24,0,0,0,0
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Suplente,Local,SANTA CATALINA ATº A,24,0,0,0,8
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Suplente,Local,SANTA CATALINA ATº A,24,0,1,0,44
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Suplente,Local,SANTA CATALINA ATº A,24,0,0,0,0
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,24,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,24,0,0,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,24,0,0,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,24,1,0,0,85
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,24,0,0,0,85
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,24,0,0,0,48
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,24,0,0,0,90
10,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,24,0,1,0,90
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,24,0,0,0,90
15,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,24,0,0,0,90
23,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,24,0,0,0,57
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,24,0,0,0,0
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,24,0,0,0,5
12,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,24,0,0,0,5
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,24,0,0,0,0
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,24,0,1,0,42
19,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,24,0,1,0,33
24,"GARCIA BISQUERRA, JAVIER",SANTA CATALINA ATº A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,24,0,0,0,0
