numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Local,PLATGES DE CALVIA A,24,0,0,0,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Local,PLATGES DE CALVIA A,24,0,0,0,45
3,"PERIAÑEZ RODRIGUEZ, DANIEL",U D IBIZA A,Titular,Local,PLATGES DE CALVIA A,24,0,0,0,72
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Local,PLATGES DE CALVIA A,24,0,1,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Local,PLATGES DE CALVIA A,24,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Local,PLATGES DE CALVIA A,24,2,1,0,90
7,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Local,PLATGES DE CALVIA A,24,0,0,0,90
8,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Local,PLATGES DE CALVIA A,24,0,0,0,65
9,"BELTRAN ALVAREZ, SERGIO",U D IBIZA A,Titular,Local,PLATGES DE CALVIA A,24,0,1,0,90
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Local,PLATGES DE CALVIA A,24,0,0,0,90
11,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Local,PLATGES DE CALVIA A,24,0,0,0,90
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Local,PLATGES DE CALVIA A,24,0,0,0,0
12,"MARTOS VERGARA, DANIEL",U D IBIZA A,Suplente,Local,PLATGES DE CALVIA A,24,0,0,0,18
14,"VALLS ANIORTE, TARIKU",U D IBIZA A,Suplente,Local,PLATGES DE CALVIA A,24,0,0,0,45
15,"TORRES RIERA, LLUC",U D IBIZA A,Suplente,Local,PLATGES DE CALVIA A,24,0,0,0,0
16,"OKROGLIC SOMOZA, LUKA",U D IBIZA A,Suplente,Local,PLATGES DE CALVIA A,24,0,0,0,0
18,"GARCIA ALBA, JAVIER",U D IBIZA A,Suplente,Local,PLATGES DE CALVIA A,24,1,0,0,25
19,"MEDINA ARANDA, SERGIO",U D IBIZA A,Suplente,Local,PLATGES DE CALVIA A,24,0,0,0,0
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Visitante,U D IBIZA A,24,0,0,0,90
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Titular,Visitante,U D IBIZA A,24,0,0,0,83
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Visitante,U D IBIZA A,24,0,2,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Visitante,U D IBIZA A,24,0,0,0,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Visitante,U D IBIZA A,24,0,0,0,90
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,U D IBIZA A,24,1,0,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Visitante,U D IBIZA A,24,1,0,0,83
15,"SOLIVELLAS LLOMPART, JOAQUÍN",PLATGES DE CALVIA A,Titular,Visitante,U D IBIZA A,24,0,0,0,45
17,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,U D IBIZA A,24,1,0,0,63
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Titular,Visitante,U D IBIZA A,24,0,0,0,55
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Visitante,U D IBIZA A,24,0,2,0,90
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Visitante,U D IBIZA A,24,0,0,0,0
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Visitante,U D IBIZA A,24,0,0,0,0
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Suplente,Visitante,U D IBIZA A,24,0,0,0,45
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Suplente,Visitante,U D IBIZA A,24,0,0,0,7
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Suplente,Visitante,U D IBIZA A,24,0,0,0,27
18,"PAYERO MOLINA, NICOLAS",PLATGES DE CALVIA A,Suplente,Visitante,U D IBIZA A,24,0,2,0,35
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Suplente,Visitante,U D IBIZA A,24,0,0,0,7
