numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Titular,Local,U D IBIZA A,25,0,0,0,90
2,"BLANCO WEBER, NOAH",CONSTANCIA A,Titular,Local,U D IBIZA A,25,0,0,0,90
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Local,U D IBIZA A,25,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Local,U D IBIZA A,25,0,0,0,90
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Titular,Local,U D IBIZA A,25,0,0,0,67
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Local,U D IBIZA A,25,0,0,0,86
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Local,U D IBIZA A,25,0,0,0,90
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Titular,Local,U D IBIZA A,25,0,1,0,67
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Titular,Local,U D IBIZA A,25,0,0,0,57
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Titular,Local,U D IBIZA A,25,0,0,0,90
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Local,U D IBIZA A,25,0,0,0,57
1,"MIR OLMO, JORDI",CONSTANCIA A,Suplente,Local,U D IBIZA A,25,0,0,0,0
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Local,U D IBIZA A,25,0,0,0,23
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Suplente,Local,U D IBIZA A,25,0,0,0,23
11,"COLL AREVALO, JORDI",CONSTANCIA A,Suplente,Local,U D IBIZA A,25,0,0,0,33
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Suplente,Local,U D IBIZA A,25,0,0,0,0
17,"SABATER SANCHO, MARC",CONSTANCIA A,Suplente,Local,U D IBIZA A,25,0,0,0,4
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Suplente,Local,U D IBIZA A,25,0,0,0,33
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Visitante,CONSTANCIA A,25,0,0,0,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Visitante,CONSTANCIA A,25,0,0,0,90
3,"PERIAÑEZ RODRIGUEZ, DANIEL",U D IBIZA A,Titular,Visitante,CONSTANCIA A,25,0,1,0,90
4,"MEDINA ARANDA, SERGIO",U D IBIZA A,Titular,Visitante,CONSTANCIA A,25,0,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Visitante,CONSTANCIA A,25,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Visitante,CONSTANCIA A,25,0,0,0,90
7,"VALLS ANIORTE, TARIKU",U D IBIZA A,Titular,Visitante,CONSTANCIA A,25,0,0,0,51
8,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Visitante,CONSTANCIA A,25,0,1,0,79
9,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Visitante,CONSTANCIA A,25,0,0,0,45
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Visitante,CONSTANCIA A,25,0,0,0,67
11,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Visitante,CONSTANCIA A,25,0,1,0,90
12,"MARTOS VERGARA, DANIEL",U D IBIZA A,Suplente,Visitante,CONSTANCIA A,25,0,0,0,39
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Visitante,CONSTANCIA A,25,0,0,0,0
14,"ROMAN MUÑOZ, ETHAN",U D IBIZA A,Suplente,Visitante,CONSTANCIA A,25,0,0,0,0
15,"TORRES RIERA, LLUC",U D IBIZA A,Suplente,Visitante,CONSTANCIA A,25,0,0,0,23
16,"SANCHEZ LUIS, MARCO",U D IBIZA A,Suplente,Visitante,CONSTANCIA A,25,0,0,0,11
18,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Suplente,Visitante,CONSTANCIA A,25,0,0,0,45
