numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Local,SD LA SALLE A,25,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Local,SD LA SALLE A,25,0,0,0,90
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Local,SD LA SALLE A,25,0,1,0,90
5,"PULIDO COLL, IZAN",FERRERIES A,Titular,Local,SD LA SALLE A,25,0,0,0,45
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Local,SD LA SALLE A,25,0,0,0,90
7,"JANER BOSCH, NOFRE",FERRERIES A,Titular,Local,SD LA SALLE A,25,0,0,0,60
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Local,SD LA SALLE A,25,0,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Local,SD LA SALLE A,25,0,0,0,90
19,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Titular,Local,SD LA SALLE A,25,0,0,0,67
21,"CAMPS CARETA, PERE",FERRERIES A,Titular,Local,SD LA SALLE A,25,0,0,0,45
23,"ROTGER LÓPEZ, LLUC",FERRERIES A,Titular,Local,SD LA SALLE A,25,0,0,0,45
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Suplente,Local,SD LA SALLE A,25,0,0,0,0
2,"FLORES BARRERA, GERARD",FERRERIES A,Suplente,Local,SD LA SALLE A,25,0,0,0,30
10,"BOSCH PULIDO, NIL",FERRERIES A,Suplente,Local,SD LA SALLE A,25,0,0,0,23
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Suplente,Local,SD LA SALLE A,25,0,0,0,45
12,"TRIAY HIERRO, TEO",FERRERIES A,Suplente,Local,SD LA SALLE A,25,0,0,0,45
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Suplente,Local,SD LA SALLE A,25,0,0,0,45
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Suplente,Local,SD LA SALLE A,25,0,0,0,0
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Titular,Visitante,FERRERIES A,25,0,0,0,90
2,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Titular,Visitante,FERRERIES A,25,0,0,0,90
3,"GARCÍA GARCÍA, ÁLVARO",SD LA SALLE A,Titular,Visitante,FERRERIES A,25,0,0,0,43
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Visitante,FERRERIES A,25,0,1,0,71
5,"PUYA TUR, OSCAR",SD LA SALLE A,Titular,Visitante,FERRERIES A,25,0,0,0,90
6,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Visitante,FERRERIES A,25,0,0,0,60
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Visitante,FERRERIES A,25,0,0,0,90
8,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Titular,Visitante,FERRERIES A,25,0,0,0,90
9,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Titular,Visitante,FERRERIES A,25,0,0,0,60
10,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Visitante,FERRERIES A,25,2,0,0,71
11,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Titular,Visitante,FERRERIES A,25,0,0,0,90
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Suplente,Visitante,FERRERIES A,25,0,0,0,0
12,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Suplente,Visitante,FERRERIES A,25,0,0,0,47
14,"CORTES BOIXO, ALEIX",SD LA SALLE A,Suplente,Visitante,FERRERIES A,25,0,0,0,30
15,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Suplente,Visitante,FERRERIES A,25,0,0,0,19
16,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Visitante,FERRERIES A,25,0,0,0,30
17,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Suplente,Visitante,FERRERIES A,25,0,0,0,19
