numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"HERNANDEZ PILO, IKER",PALMA F.C.,Titular,Local,POBLENSE A,25,0,0,0,90
2,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Titular,Local,POBLENSE A,25,0,0,0,72
3,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Titular,Local,POBLENSE A,25,0,0,0,90
4,JOAN,PALMA F.C.,Titular,Local,POBLENSE A,25,0,0,0,90
5,"KEANEY, DANIEL THOMAS",PALMA F.C.,Titular,Local,POBLENSE A,25,0,0,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Local,POBLENSE A,25,0,1,0,81
7,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Local,POBLENSE A,25,0,0,0,90
8,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Local,POBLENSE A,25,0,1,0,90
9,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Local,POBLENSE A,25,3,0,0,81
10,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Titular,Local,POBLENSE A,25,0,0,0,59
11,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Local,POBLENSE A,25,1,0,0,90
13,"PASTOR MAS, MARC",PALMA F.C.,Suplente,Local,POBLENSE A,25,0,0,0,0
12,"ORTEGA CASTILLA, HUGO",PALMA F.C.,Suplente,Local,POBLENSE A,25,0,0,0,0
14,"ALLENDES SEPULVEDA, MARTIN ALONSO",PALMA F.C.,Suplente,Local,POBLENSE A,25,0,0,0,0
15,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Suplente,Local,POBLENSE A,25,0,0,0,18
16,"FOLGADO GARNICA, PAULO",PALMA F.C.,Suplente,Local,POBLENSE A,25,0,0,0,9
17,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Suplente,Local,POBLENSE A,25,0,0,0,9
18,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Suplente,Local,POBLENSE A,25,1,0,0,31
13,"MUÑOZ SANTOS, DAVID",POBLENSE A,Titular,Visitante,PALMA F.C.,25,0,0,0,90
2,"GIBSON, JASPER",POBLENSE A,Titular,Visitante,PALMA F.C.,25,0,0,0,45
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Titular,Visitante,PALMA F.C.,25,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Visitante,PALMA F.C.,25,0,0,0,45
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Visitante,PALMA F.C.,25,0,1,0,90
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Titular,Visitante,PALMA F.C.,25,0,0,0,83
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Titular,Visitante,PALMA F.C.,25,0,0,0,90
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Visitante,PALMA F.C.,25,0,0,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Visitante,PALMA F.C.,25,1,1,0,90
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Visitante,PALMA F.C.,25,0,0,0,83
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Titular,Visitante,PALMA F.C.,25,0,1,0,90
1,"CORDERO VILARCHAO, CHRISTIAN",POBLENSE A,Suplente,Visitante,PALMA F.C.,25,0,0,0,0
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Suplente,Visitante,PALMA F.C.,25,0,0,0,45
8,"THIAM BORRAS, KARIM",POBLENSE A,Suplente,Visitante,PALMA F.C.,25,0,0,0,0
12,"MEFTAH ES SALEMY, BILAL",POBLENSE A,Suplente,Visitante,PALMA F.C.,25,0,0,0,7
15,"ASBAI HAMOUTI, ALI",POBLENSE A,Suplente,Visitante,PALMA F.C.,25,0,0,0,7
17,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Suplente,Visitante,PALMA F.C.,25,0,0,0,45
20,"FERNANDEZ HEREDIA, ALEJANDRO",POBLENSE A,Suplente,Visitante,PALMA F.C.,25,0,0,0,0
