numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"FATY, MALANG",PLA DE NA TESA A,Titular,Local,MANACOR A,25,0,1,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Local,MANACOR A,25,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Local,MANACOR A,25,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Local,MANACOR A,25,0,0,0,90
5,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Local,MANACOR A,25,0,0,0,90
6,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Local,MANACOR A,25,0,0,0,84
7,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Titular,Local,MANACOR A,25,0,1,0,62
8,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Local,MANACOR A,25,1,0,0,90
9,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Local,MANACOR A,25,1,0,0,90
10,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Titular,Local,MANACOR A,25,1,0,0,62
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Local,MANACOR A,25,1,0,0,79
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Suplente,Local,MANACOR A,25,0,0,0,0
12,"FERNÁNDEZ RODRÍGUEZ, IKER",PLA DE NA TESA A,Suplente,Local,MANACOR A,25,0,0,0,0
14,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Suplente,Local,MANACOR A,25,0,0,0,6
15,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Local,MANACOR A,25,0,0,0,0
16,"MORA GISPERT, HUGO",PLA DE NA TESA A,Suplente,Local,MANACOR A,25,0,0,0,28
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Local,MANACOR A,25,0,0,0,11
18,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Local,MANACOR A,25,0,0,0,28
13,"FUSTER MORONTA, JOAN JOSEP",MANACOR A,Titular,Visitante,PLA DE NA TESA A,25,0,0,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Titular,Visitante,PLA DE NA TESA A,25,0,0,0,82
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Visitante,PLA DE NA TESA A,25,0,0,0,90
4,"GRAHAM, NATHAN STUART",MANACOR A,Titular,Visitante,PLA DE NA TESA A,25,0,0,0,90
5,"MORAGUES LLULL, TONI",MANACOR A,Titular,Visitante,PLA DE NA TESA A,25,0,0,0,90
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Titular,Visitante,PLA DE NA TESA A,25,0,0,0,56
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Visitante,PLA DE NA TESA A,25,0,0,0,90
16,"FUSTER GONZALEZ, SERGI",MANACOR A,Titular,Visitante,PLA DE NA TESA A,25,1,0,0,90
17,"VIVES HIDALGO, IKER",MANACOR A,Titular,Visitante,PLA DE NA TESA A,25,0,0,0,71
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Titular,Visitante,PLA DE NA TESA A,25,0,0,0,71
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Visitante,PLA DE NA TESA A,25,0,1,0,56
10,"POSTIGO GARAT, RAUL",MANACOR A,Suplente,Visitante,PLA DE NA TESA A,25,0,0,0,0
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Suplente,Visitante,PLA DE NA TESA A,25,0,0,0,34
12,"ORTIZ CARROZA, ABRAHAM",MANACOR A,Suplente,Visitante,PLA DE NA TESA A,25,0,0,0,19
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Suplente,Visitante,PLA DE NA TESA A,25,0,0,0,34
18,"DOMINICI ALMONTE, ANTHONY DE JESUS",MANACOR A,Suplente,Visitante,PLA DE NA TESA A,25,0,0,0,8
20,"ADROVER GARRIDO, GERARD",MANACOR A,Suplente,Visitante,PLA DE NA TESA A,25,0,0,0,19
25,"BURGUERA BONET, JULIÀ",MANACOR A,Suplente,Visitante,PLA DE NA TESA A,25,0,0,0,0
