numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,25,0,0,0,90
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,25,1,1,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,25,0,1,0,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,25,0,0,0,73
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,25,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,25,0,1,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,25,0,1,0,90
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,25,0,0,0,90
15,"SOLIVELLAS LLOMPART, JOAQUÍN",PLATGES DE CALVIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,25,0,0,0,90
17,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,25,0,0,0,66
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,25,0,0,0,90
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,25,0,0,0,0
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,25,0,0,0,24
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,25,0,0,0,0
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,25,0,0,0,17
21,"VIOLA, RICCARDO",PLATGES DE CALVIA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,25,0,0,0,0
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLATGES DE CALVIA A,25,0,1,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLATGES DE CALVIA A,25,0,0,0,25
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLATGES DE CALVIA A,25,0,0,0,45
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLATGES DE CALVIA A,25,0,0,0,90
6,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLATGES DE CALVIA A,25,0,0,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLATGES DE CALVIA A,25,0,0,0,90
8,"FLORIT ANGLADA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLATGES DE CALVIA A,25,0,0,0,61
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLATGES DE CALVIA A,25,1,0,0,90
15,"MOLL PONS, ROBERTO",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLATGES DE CALVIA A,25,0,0,0,61
18,"HUGUET ANGLADA, LLUIS",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLATGES DE CALVIA A,25,0,0,0,45
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PLATGES DE CALVIA A,25,0,1,0,90
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PLATGES DE CALVIA A,25,0,1,0,45
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PLATGES DE CALVIA A,25,0,0,0,0
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PLATGES DE CALVIA A,25,0,1,0,29
17,"PASCUAL GORNES, ENRIC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PLATGES DE CALVIA A,25,0,0,0,29
19,"SALORT MARIN, JORGE",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PLATGES DE CALVIA A,25,0,0,0,45
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PLATGES DE CALVIA A,25,0,0,0,65
