numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,90
2,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Titular,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,19
3,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Titular,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,46
4,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,90
5,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Titular,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,46
6,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,90
7,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Titular,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,90
8,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,90
9,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,90
10,"LUNEGRO, BRUNO",SAN FRANCISCO B,Titular,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,64
11,"LLEDO SAMPOL, ADRIA",SAN FRANCISCO B,Titular,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,46
12,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Suplente,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,44
14,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Suplente,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,26
15,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Suplente,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,0
16,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Suplente,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,71
17,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Suplente,Local,SP. ATº CIUTAT DE PALMA,25,0,1,0,44
18,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Suplente,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,44
19,"DIAZ ROMERO, GYLBERT",SAN FRANCISCO B,Suplente,Local,SP. ATº CIUTAT DE PALMA,25,0,0,0,0
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SAN FRANCISCO B,25,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SAN FRANCISCO B,25,0,0,0,59
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SAN FRANCISCO B,25,0,1,0,90
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SAN FRANCISCO B,25,0,0,0,90
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SAN FRANCISCO B,25,0,0,0,67
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SAN FRANCISCO B,25,0,0,0,90
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SAN FRANCISCO B,25,2,0,0,75
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SAN FRANCISCO B,25,0,0,0,75
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SAN FRANCISCO B,25,0,0,0,90
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SAN FRANCISCO B,25,0,0,0,59
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SAN FRANCISCO B,25,0,0,0,90
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SAN FRANCISCO B,25,0,0,0,0
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SAN FRANCISCO B,25,0,0,0,0
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SAN FRANCISCO B,25,0,0,0,31
8,"FERNÁNDEZ CASSO, ALBERTO",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SAN FRANCISCO B,25,0,0,0,15
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SAN FRANCISCO B,25,0,0,0,31
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SAN FRANCISCO B,25,1,0,0,15
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SAN FRANCISCO B,25,0,0,0,23
