numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Titular,Local,ANDRATX A,25,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Local,ANDRATX A,25,0,0,0,90
3,"GARCIA BISQUERRA, JAVIER",SANTA CATALINA ATº A,Titular,Local,ANDRATX A,25,0,0,0,90
4,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Local,ANDRATX A,25,0,0,0,90
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Local,ANDRATX A,25,0,0,0,90
10,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Local,ANDRATX A,25,0,0,0,90
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Titular,Local,ANDRATX A,25,0,0,0,90
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Local,ANDRATX A,25,0,0,0,90
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Local,ANDRATX A,25,0,0,0,90
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Titular,Local,ANDRATX A,25,0,0,0,90
25,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Visitante,SANTA CATALINA ATº A,25,0,0,0,90
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Titular,Visitante,SANTA CATALINA ATº A,25,0,0,0,90
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Visitante,SANTA CATALINA ATº A,25,0,0,0,90
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Visitante,SANTA CATALINA ATº A,25,0,0,0,90
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Titular,Visitante,SANTA CATALINA ATº A,25,0,0,0,90
12,"KRAWIETZ, FRANZ PETER",ANDRATX A,Titular,Visitante,SANTA CATALINA ATº A,25,1,0,0,90
15,"DE JUANA QUETGLAS, DIEGO",ANDRATX A,Titular,Visitante,SANTA CATALINA ATº A,25,0,0,0,90
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Visitante,SANTA CATALINA ATº A,25,0,0,0,90
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Visitante,SANTA CATALINA ATº A,25,0,0,0,90
21,"SINTES DIAZ, JOAN",ANDRATX A,Titular,Visitante,SANTA CATALINA ATº A,25,0,0,0,90
23,"DE JUANA QUETGLAS, SERGIO",ANDRATX A,Titular,Visitante,SANTA CATALINA ATº A,25,0,0,0,90
