numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"BURGUERA BONET, JULIÀ",MANACOR A,Titular,Local,SANTA CATALINA ATº A,26,0,0,0,90
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Local,SANTA CATALINA ATº A,26,0,0,0,90
4,"GRAHAM, NATHAN STUART",MANACOR A,Titular,Local,SANTA CATALINA ATº A,26,0,0,0,90
5,"MORAGUES LLULL, TONI",MANACOR A,Titular,Local,SANTA CATALINA ATº A,26,0,0,0,68
6,"BAUZA COMPANY, JOAN",MANACOR A,Titular,Local,SANTA CATALINA ATº A,26,0,0,0,90
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Local,SANTA CATALINA ATº A,26,0,1,0,80
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Titular,Local,SANTA CATALINA ATº A,26,0,0,0,54
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Local,SANTA CATALINA ATº A,26,0,1,0,90
16,"FUSTER GONZALEZ, SERGI",MANACOR A,Titular,Local,SANTA CATALINA ATº A,26,0,1,0,90
17,"VIVES HIDALGO, IKER",MANACOR A,Titular,Local,SANTA CATALINA ATº A,26,1,0,0,80
18,"DOMINICI ALMONTE, ANTHONY DE JESUS",MANACOR A,Titular,Local,SANTA CATALINA ATº A,26,0,0,0,54
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Suplente,Local,SANTA CATALINA ATº A,26,0,0,0,0
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Suplente,Local,SANTA CATALINA ATº A,26,0,0,0,10
10,"POSTIGO GARAT, RAUL",MANACOR A,Suplente,Local,SANTA CATALINA ATº A,26,0,0,0,22
12,"ORTIZ CARROZA, ABRAHAM",MANACOR A,Suplente,Local,SANTA CATALINA ATº A,26,0,0,0,36
13,"GARCIA MESTRE, DAVID",MANACOR A,Suplente,Local,SANTA CATALINA ATº A,26,0,0,0,0
15,"MORALES RODRIGUEZ, MIGUEL ANGEL",MANACOR A,Suplente,Local,SANTA CATALINA ATº A,26,0,0,0,36
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Suplente,Local,SANTA CATALINA ATº A,26,0,0,0,10
1,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Titular,Visitante,MANACOR A,26,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Visitante,MANACOR A,26,0,0,0,90
4,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,MANACOR A,26,0,0,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Visitante,MANACOR A,26,0,0,0,80
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Visitante,MANACOR A,26,1,0,0,65
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Visitante,MANACOR A,26,0,0,0,90
10,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Visitante,MANACOR A,26,1,0,0,90
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Visitante,MANACOR A,26,0,0,0,90
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Titular,Visitante,MANACOR A,26,1,0,0,90
19,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Titular,Visitante,MANACOR A,26,0,0,0,72
23,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Titular,Visitante,MANACOR A,26,0,0,0,65
3,"ARROYO BERNAT, ALEJANDRO",SANTA CATALINA ATº A,Suplente,Visitante,MANACOR A,26,0,0,0,0
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Suplente,Visitante,MANACOR A,26,0,0,0,25
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Suplente,Visitante,MANACOR A,26,0,0,0,0
13,"GONZÁLEZ BONNÍN, MARC",SANTA CATALINA ATº A,Suplente,Visitante,MANACOR A,26,0,0,0,0
17,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Visitante,MANACOR A,26,0,0,0,18
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Suplente,Visitante,MANACOR A,26,0,0,0,25
24,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Visitante,MANACOR A,26,0,0,0,10
