numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,CONSTANCIA A,26,0,0,0,90
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,CONSTANCIA A,26,0,0,0,90
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,CONSTANCIA A,26,0,0,0,90
6,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,CONSTANCIA A,26,0,0,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,CONSTANCIA A,26,0,0,0,82
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,CONSTANCIA A,26,0,1,0,76
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,CONSTANCIA A,26,0,0,0,90
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,CONSTANCIA A,26,0,0,0,60
19,"SALORT MARIN, JORGE",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,CONSTANCIA A,26,0,0,0,60
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,CONSTANCIA A,26,0,0,0,60
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,CONSTANCIA A,26,0,0,0,90
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,CONSTANCIA A,26,0,0,0,0
8,"FLORIT ANGLADA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,CONSTANCIA A,26,0,0,0,30
11,"LOPEZ GONZALEZ, ALEJANDRO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,CONSTANCIA A,26,0,0,0,8
16,"SINTES SANCHEZ ESCRIBANO, ENRIC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,CONSTANCIA A,26,0,0,0,0
17,"PASCUAL GORNES, ENRIC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,CONSTANCIA A,26,0,0,1,14
18,"HUGUET ANGLADA, LLUIS",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,CONSTANCIA A,26,0,0,0,30
20,"PARRONA ALOMSO, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,CONSTANCIA A,26,0,2,0,30
1,"MIR OLMO, JORDI",CONSTANCIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,0,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,1,0,90
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,0,0,38
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,1,0,90
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,0,0,90
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,1,0,90
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,0,0,60
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,0,0,45
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,0,0,90
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,0,0,70
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,0,0,45
2,"BLANCO WEBER, NOAH",CONSTANCIA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,1,0,52
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,0,0,0
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,0,0,45
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,0,0,0
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,1,0,0,30
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,0,0,20
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,26,0,0,0,45
