numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Titular,Local,UD MAHON,26,0,0,0,90
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Titular,Local,UD MAHON,26,0,0,0,58
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Titular,Local,UD MAHON,26,0,0,0,90
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Local,UD MAHON,26,0,0,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Local,UD MAHON,26,0,0,0,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Local,UD MAHON,26,0,0,0,67
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Local,UD MAHON,26,0,0,0,90
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,UD MAHON,26,1,1,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Local,UD MAHON,26,0,0,0,90
15,"BORREGO, GIOVANNI RAIDEL",PLATGES DE CALVIA A,Titular,Local,UD MAHON,26,0,0,0,72
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Titular,Local,UD MAHON,26,0,0,0,58
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Suplente,Local,UD MAHON,26,1,0,0,32
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Suplente,Local,UD MAHON,26,0,0,0,0
17,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Suplente,Local,UD MAHON,26,0,0,0,32
18,"PAYERO MOLINA, NICOLAS",PLATGES DE CALVIA A,Suplente,Local,UD MAHON,26,0,0,0,0
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Local,UD MAHON,26,0,0,0,18
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Suplente,Local,UD MAHON,26,0,0,0,23
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Suplente,Local,UD MAHON,26,0,0,0,0
13,"LASSO VIAFARA, DUVAN FELIPE",UD MAHON,Titular,Visitante,PLATGES DE CALVIA A,26,0,0,0,90
2,"NGONG NGO, FABRICE",UD MAHON,Titular,Visitante,PLATGES DE CALVIA A,26,0,0,0,70
3,"LASSO VIAFARA, ANDRES FELIPE",UD MAHON,Titular,Visitante,PLATGES DE CALVIA A,26,0,0,0,90
4,"DELICADO NIEWIAROWSKI, NICOLAS JAYDON",UD MAHON,Titular,Visitante,PLATGES DE CALVIA A,26,0,0,0,66
5,"GOMEZ GORDILLO, RAUL",UD MAHON,Titular,Visitante,PLATGES DE CALVIA A,26,0,0,0,90
6,"DIALLO, FODE",UD MAHON,Titular,Visitante,PLATGES DE CALVIA A,26,0,0,0,66
7,"SINTES MELERO, ALVARO",UD MAHON,Titular,Visitante,PLATGES DE CALVIA A,26,0,0,0,70
8,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Visitante,PLATGES DE CALVIA A,26,1,0,0,46
9,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Titular,Visitante,PLATGES DE CALVIA A,26,0,0,0,90
10,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Visitante,PLATGES DE CALVIA A,26,0,1,0,90
11,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Visitante,PLATGES DE CALVIA A,26,0,0,0,90
1,"ORFILA QUINTANA, AARON",UD MAHON,Suplente,Visitante,PLATGES DE CALVIA A,26,0,0,0,0
12,"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",UD MAHON,Suplente,Visitante,PLATGES DE CALVIA A,26,0,0,0,20
14,"GOMEZ SANTOS, JUAN",UD MAHON,Suplente,Visitante,PLATGES DE CALVIA A,26,1,0,0,44
15,"GRUBAC, NOA",UD MAHON,Suplente,Visitante,PLATGES DE CALVIA A,26,0,0,0,24
16,"LOPEZ FERNANDEZ, MARC",UD MAHON,Suplente,Visitante,PLATGES DE CALVIA A,26,0,0,0,20
17,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Suplente,Visitante,PLATGES DE CALVIA A,26,0,0,0,24
