numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"BOUJJIA LAMRINI, AMIN",POBLENSE A,Titular,Local,PENYA INDEPENDENT A,26,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Local,PENYA INDEPENDENT A,26,0,0,0,90
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Titular,Local,PENYA INDEPENDENT A,26,0,0,0,90
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Titular,Local,PENYA INDEPENDENT A,26,0,0,0,70
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Titular,Local,PENYA INDEPENDENT A,26,1,0,0,89
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Local,PENYA INDEPENDENT A,26,0,0,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Local,PENYA INDEPENDENT A,26,1,0,0,89
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Local,PENYA INDEPENDENT A,26,0,0,0,84
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Titular,Local,PENYA INDEPENDENT A,26,0,0,0,90
22,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Titular,Local,PENYA INDEPENDENT A,26,0,0,0,84
25,"TUR ESCALAS, TONI",POBLENSE A,Titular,Local,PENYA INDEPENDENT A,26,0,0,0,90
2,"GIBSON, JASPER",POBLENSE A,Suplente,Local,PENYA INDEPENDENT A,26,0,0,0,6
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Suplente,Local,PENYA INDEPENDENT A,26,0,0,0,0
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Suplente,Local,PENYA INDEPENDENT A,26,0,0,0,6
12,"MEFTAH ES SALEMY, BILAL",POBLENSE A,Suplente,Local,PENYA INDEPENDENT A,26,0,0,0,1
13,"MUÑOZ SANTOS, DAVID",POBLENSE A,Suplente,Local,PENYA INDEPENDENT A,26,0,0,0,0
15,"ASBAI HAMOUTI, ALI",POBLENSE A,Suplente,Local,PENYA INDEPENDENT A,26,0,0,0,1
20,"FERNANDEZ HEREDIA, ALEJANDRO",POBLENSE A,Suplente,Local,PENYA INDEPENDENT A,26,0,0,0,20
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Titular,Visitante,POBLENSE A,26,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,POBLENSE A,26,0,0,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Visitante,POBLENSE A,26,0,0,0,90
5,"ESCANDELL RIBAS, JOAN",PENYA INDEPENDENT A,Titular,Visitante,POBLENSE A,26,0,0,0,90
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Titular,Visitante,POBLENSE A,26,0,0,0,82
7,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Visitante,POBLENSE A,26,0,0,0,61
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Visitante,POBLENSE A,26,0,0,0,46
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Titular,Visitante,POBLENSE A,26,0,0,0,82
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,POBLENSE A,26,0,1,0,52
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Titular,Visitante,POBLENSE A,26,1,0,0,90
19,"EL ATTARINE BOUZID, MOHAMED",PENYA INDEPENDENT A,Titular,Visitante,POBLENSE A,26,0,0,0,90
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Suplente,Visitante,POBLENSE A,26,0,0,0,0
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Suplente,Visitante,POBLENSE A,26,0,0,0,29
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Suplente,Visitante,POBLENSE A,26,0,1,0,44
11,"GHARBI KHAMMAL EL BAKKALI, NASROLLAH",PENYA INDEPENDENT A,Suplente,Visitante,POBLENSE A,26,0,0,0,8
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Suplente,Visitante,POBLENSE A,26,0,0,0,38
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Suplente,Visitante,POBLENSE A,26,0,0,0,0
20,"BASILIO FERNANDEZ, MARC",PENYA INDEPENDENT A,Suplente,Visitante,POBLENSE A,26,0,0,0,8
