numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Titular,Local,PENYA ARRABAL A,26,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Local,PENYA ARRABAL A,26,0,0,0,90
3,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Titular,Local,PENYA ARRABAL A,26,0,0,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Local,PENYA ARRABAL A,26,0,0,0,90
5,"PUYA TUR, OSCAR",SD LA SALLE A,Titular,Local,PENYA ARRABAL A,26,0,1,0,72
6,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Titular,Local,PENYA ARRABAL A,26,0,0,0,72
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Local,PENYA ARRABAL A,26,0,0,0,90
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Local,PENYA ARRABAL A,26,0,0,0,90
9,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Titular,Local,PENYA ARRABAL A,26,0,0,0,64
10,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Local,PENYA ARRABAL A,26,0,0,0,90
11,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Titular,Local,PENYA ARRABAL A,26,0,0,0,72
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Suplente,Local,PENYA ARRABAL A,26,0,0,0,0
12,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Suplente,Local,PENYA ARRABAL A,26,0,0,0,0
14,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Suplente,Local,PENYA ARRABAL A,26,0,0,0,18
15,"PETRARCA, ELIA",SD LA SALLE A,Suplente,Local,PENYA ARRABAL A,26,0,0,0,18
16,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Local,PENYA ARRABAL A,26,0,0,0,14
17,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Suplente,Local,PENYA ARRABAL A,26,0,0,0,26
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Suplente,Local,PENYA ARRABAL A,26,0,0,0,18
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Titular,Visitante,SD LA SALLE A,26,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Visitante,SD LA SALLE A,26,0,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Visitante,SD LA SALLE A,26,0,1,0,83
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Visitante,SD LA SALLE A,26,0,0,0,90
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Visitante,SD LA SALLE A,26,0,0,0,83
12,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Visitante,SD LA SALLE A,26,0,0,0,68
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Visitante,SD LA SALLE A,26,0,0,0,90
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Titular,Visitante,SD LA SALLE A,26,0,0,0,53
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Visitante,SD LA SALLE A,26,0,1,0,90
20,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Titular,Visitante,SD LA SALLE A,26,0,0,0,68
21,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Visitante,SD LA SALLE A,26,0,0,0,90
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Suplente,Visitante,SD LA SALLE A,26,0,0,0,0
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Suplente,Visitante,SD LA SALLE A,26,0,0,0,0
5,"MORENO PUJOL, JAVIER",PENYA ARRABAL A,Suplente,Visitante,SD LA SALLE A,26,0,0,0,7
7,"MESQUIDA URIBE, XAVIER",PENYA ARRABAL A,Suplente,Visitante,SD LA SALLE A,26,0,0,0,7
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Suplente,Visitante,SD LA SALLE A,26,0,0,0,22
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Suplente,Visitante,SD LA SALLE A,26,0,0,0,22
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Suplente,Visitante,SD LA SALLE A,26,0,0,0,37
